"Date","forecast_US_covid","forecast_US_economic","forecast_US_health","forecast_US_response","forecast_US_stringency"
2021-06-01,6447.29008300402,49.8701263748452,62.8773362139191,61.2535731280394,47.1344133842696
2021-06-02,7111.28103912419,49.7787246635331,63.2661211675753,61.5820090294821,47.5266677720007
2021-06-03,7768.91708763677,49.7241772078672,63.6655546501287,61.9244015707646,47.9356291170053
2021-06-04,8421.13934422437,49.7048953050998,64.0748559710434,62.2798657164838,48.3601929309124
2021-06-05,9068.87321228007,49.7193207041568,64.4932647430512,62.647538358566,48.799284970532
2021-06-06,9713.01805134964,49.7659268725384,64.9200415070479,63.0265789831123,49.2518617540487
2021-06-07,10354.438827131,49.8432200560746,65.3544682163237,63.4161701924107,49.7169109249416
2021-06-08,10993.9594817583,49.949740151586,65.7958485957275,63.8155180978249,50.1934514805913
2021-06-09,11632.3577934803,50.0840614105957,66.243508389768,64.2238525976791,50.6805338808178
2021-06-10,12270.3615219522,50.2447929905231,66.6967955122117,64.6404275528267,51.1772400500395
2021-06-11,12908.645659362,50.4305793682455,67.155080108456,65.0645208713126,51.6826832853595
2021-06-12,13547.8306289844,50.6401006295254,67.617754540797,65.4954345123877,52.1960080816412
2021-06-13,14188.4812917361,50.8720726465478,68.0842333056811,65.9324944191074,52.716389883517
2021-06-14,14831.1066381028,51.1252471546888,68.5539528911018,66.3750503878173,53.2430347732726
2021-06-15,15476.16005779,51.398411738611,69.0263715814701,66.8224758820012,53.7751791026496
2021-06-16,16124.0400926746,51.6903897368706,69.5009692165413,67.2741677972199,54.3120890758004
2021-06-17,16775.0915903961,52.0000400733872,69.9772469103129,67.7295461831985,54.8530602899011
2021-06-18,17429.6071863417,52.3262570233779,70.4547267352027,68.1880539285183,55.3974172392774
2021-06-19,18087.8290509864,52.6679699206809,70.9329513762827,68.649156412826,55.9445127883093
2021-06-20,18749.9508477399,53.024142812778,71.4114837598499,69.1123411309868,56.4937276178501
2021-06-21,19416.1198536523,53.3937740692682,71.8899066601885,69.5771172931669,57.0444696494215
2021-06-22,20086.4392017372,53.7758959490434,72.3678222879765,70.0430154044368,57.5961734510154
2021-06-23,20760.9702092964,54.1695741309542,72.8448518634431,70.5095868271294,58.1482996279482
2021-06-24,21439.7347616181,54.5739072123445,73.3206351770622,70.9764033288672,58.700334201862
2021-06-25,22122.7177248257,54.9880261794457,73.7948301402805,71.4430566188775,59.2517879806544
2021-06-26,22809.8693654932,55.4110938532892,74.267112328523,71.9091578749619,59.8021959218355
2021-06-27,23501.1077580802,55.8423043144698,74.737174518485,72.3743372632401,60.3511164915505
2021-06-28,24196.3211642245,56.2808823098172,75.2047262215079,72.8382434525796,60.8981310212784
2021-06-29,24895.3703705489,56.7260826437632,75.6694932146509,73.3005431254305,61.4428430640048
2021-06-30,25598.0909739508,57.1771895569603,76.131217070897,73.760920486605,61.9848777514792
2021-07-01,26304.2956053559,57.6335160944871,76.5896546897782,74.2190767713881,62.5238811539947
2021-07-02,27013.7760847005,58.0944034657715,77.0445778295645,74.6747297542174,63.0595196439705
2021-07-03,27726.3055013886,58.5592203981911,77.4957726420377,75.1276132590452,63.5914792644818
2021-07-04,28441.6402158675,59.0273624861294,77.9430392107547,75.5774766723745,64.1194651037491
2021-07-05,29159.5217790842,59.4982515371232,78.3861910936024,76.0240844598533,64.6432006764848
2021-07-06,29879.6787676046,59.9713349165865,78.8250548703535,76.4672156872176,65.1624273128904
2021-07-07,30601.8285330315,60.4460848924736,79.2594696958475,76.9066635462816,65.6769035560018
2021-07-08,31325.6788650924,60.9219979811198,79.6892868593459,77.3422348865974,66.1864045679944
2021-07-09,32050.9295684266,61.398594295389,80.1143693505384,77.7737497533283,66.690721545978
2021-07-10,32777.2739536142,61.8754168961558,80.5345914326173,78.2010409318189,67.1896611477442
2021-07-11,33504.4002434514,62.3520311480555,80.9498382227788,78.6239534992818,67.6830449278621
