"Date","forecast_Sing_covid","forecast_Sing_covid_low_80","forecast_Sing_covid_high_80","forecast_Sing_covid_low_95","forecast_Sing_covid_high_95"
2021-06-01,52.6512315283238,-54.3020490313575,159.604512088005,-110.919695745525,216.222158802173
2021-06-02,73.6275065938683,-56.0409782838126,203.295991471549,-124.683327806409,271.938340994145
2021-06-03,88.6773609183096,-51.4328188132517,228.787540649871,-125.602667700435,302.957389537054
2021-06-04,99.6568902841896,-46.6432170118225,245.956997580202,-124.089815618102,323.403596186481
2021-06-05,107.820704960773,-43.0748666469559,258.716276568502,-122.954157112025,338.595567033571
2021-06-06,114.01796655314,-40.8527314407805,268.88866454706,-122.836326703232,350.872259809512
2021-06-07,118.824475303382,-39.7504105131426,277.399361119907,-123.694884361138,361.343834967902
2021-06-08,122.631671991842,-39.488923973587,284.75226795727,-125.310383394264,370.573727377947
2021-06-09,125.706611289251,-39.8284455461377,291.241668124639,-127.457411368143,378.870633946645
2021-06-10,128.232377126389,-40.5867065808586,297.051460833637,-129.954131216449,386.418885469227
2021-06-11,130.335320721605,-41.633184760668,302.303826203878,-132.667812575807,393.338454019018
2021-06-12,132.10342013083,-42.8774588475253,307.084299109186,-135.506740865694,399.713581127354
2021-06-13,133.598657625226,-44.2581127712448,311.455428021697,-138.409799744616,405.607114995068
2021-06-14,134.865366251213,-45.7339261369768,315.464658639403,-141.337416555931,411.068149058356
2021-06-15,135.935860286764,-47.2774158289175,319.149136402445,-144.264665646604,416.136386220131
2021-06-16,136.834235380325,-48.8702976894999,322.538768450149,-147.176339276506,420.844810037156
2021-06-17,137.578935176015,-50.5003764672012,325.658246819231,-150.063549893353,425.221420245383
2021-06-18,138.184486530941,-52.1594486876841,328.528421749567,-152.921441419445,429.290414481328
2021-06-19,138.662674256013,-53.8419045331568,331.167253045182,-155.747672880889,433.073021392914
2021-06-20,139.023337933689,-55.5438040486633,333.590479916042,-158.54142739688,436.588103264258
2021-06-21,139.274913821385,-57.2622716608387,335.81209930361,-161.302773042376,439.852600685147
2021-06-22,139.424804732836,-58.995102618287,337.844712083958,-164.032256753966,442.881866219637
2021-06-23,139.479633760357,-60.740509626916,339.69977714763,-166.730651154505,445.689918675219
2021-06-24,139.445419488835,-62.4969616909634,341.387800668633,-169.398800834416,448.289639812085
2021-06-25,139.327698081682,-64.2630832273483,342.918479390713,-172.037532688802,450.692928852167
2021-06-26,139.131609352727,-66.0375922968917,344.300811002346,-174.647607013962,452.910825719416
2021-06-27,138.861958365269,-67.8192639939185,345.543180724457,-177.229694125186,454.953610855725
2021-06-28,138.5232603466,-69.6069098218559,346.653430515056,-179.784366590764,456.830887283964
