"Date","forecast_US_health","forecast_US_health_low_80","forecast_US_health_high_80","forecast_US_health_low_95","forecast_US_health_high_95"
2021-06-01,62.8773362139191,61.7974601023994,63.9572123254387,61.225808219847,64.5288642079911
2021-06-02,63.2661211675753,61.7145390471895,64.8177032879611,60.8931810871501,65.6390612480006
2021-06-03,63.6655546501287,61.7320839810475,65.5990253192098,60.7085664348685,66.6225428653889
2021-06-04,64.0748559710434,61.8011693379235,66.3485426041634,60.5975523393698,67.5521596027171
2021-06-05,64.4932647430512,61.9030874651453,67.0834420209571,60.5319304395719,68.4545990465305
2021-06-06,64.9200415070479,62.0284722703138,67.8116107437821,60.4977679792602,69.3423150348357
2021-06-07,65.3544682163237,62.1719502140613,68.5369862185861,60.4872269501216,70.2217094825259
2021-06-08,65.7958485957275,62.3301667070727,69.2615304843824,60.4955455363264,71.0961516551287
2021-06-09,66.243508389768,62.5008973946459,69.98611938489,60.5196788102179,71.967337969318
2021-06-10,66.6967955122117,62.6825937815864,70.710997242837,60.5576037463615,72.8359872780619
2021-06-11,67.155080108456,62.8741298672009,71.4360303497111,60.6079317001885,73.7022285167234
2021-06-12,67.617754540797,63.0746519025383,72.1608571790557,60.6696786393237,74.5658304422703
2021-06-13,68.0842333056811,63.2834852426013,72.8849813687609,60.7421227301395,75.4263438812227
2021-06-14,68.5539528911018,63.5000746896776,73.6078310925261,60.8247131762456,76.2831926059581
2021-06-15,69.0263715814701,63.7239453747764,74.3287977881638,60.9170104951024,77.1357326678378
2021-06-16,69.5009692165413,63.9546766765371,75.0472617565456,61.0186467580517,77.983291675031
2021-06-17,69.9772469103129,64.1918846429954,75.7626091776304,61.1292988555339,78.8251949650918
2021-06-18,70.4547267352027,64.4352100775137,76.4742433928918,61.2486704432767,79.6607830271287
2021-06-19,70.9329513762827,64.6843104606776,77.1815922918878,61.37647977094,80.4894229816253
2021-06-20,71.4114837598499,64.9388545030354,77.8841130166644,61.512451547872,81.3105159718278
2021-06-21,71.8899066601885,65.1985185189192,78.5812948014579,61.656311605515,82.1235017148621
2021-06-22,72.3678222879765,65.4629840685698,79.2726605073832,61.8077835092312,82.9278610667218
2021-06-23,72.8448518634431,65.7319364862743,79.9577672406118,61.9665865332396,83.7231171936465
2021-06-24,73.3206351770622,66.0050640272947,80.6362063268297,62.1324345885112,84.5088357656132
2021-06-25,73.7948301402805,66.2820574451987,81.3076028353622,62.3050358141826,85.2846244663784
2021-06-26,74.267112328523,66.5626098659006,81.9716147911455,62.4840926268358,86.0501320302103
2021-06-27,74.737174518485,66.8464168630762,82.6279321738939,62.6693020807787,86.8050469561913
2021-06-28,75.2047262215079,67.1331766667775,83.2762757762383,62.8603564341095,87.5490960089063
2021-06-29,75.6694932146509,67.4225904564512,83.9163959728506,63.0569438450852,88.2820425842166
2021-06-30,76.131217070897,67.7143627034855,84.5480714383085,63.2587491446962,89.0036849970977
2021-07-01,76.5896546897782,68.0082015384637,85.1711078410927,63.4654546468039,89.7138547327525
2021-07-02,77.0445778295645,68.3038191255928,85.7853365335362,63.6767409684239,90.412414690705
2021-07-03,77.4957726420377,68.6009320320821,86.3906132519933,63.8922878409179,91.0992574431575
