"Date","forecast_US_stringency","forecast_US_stringency_low_80","forecast_US_stringency_high_80","forecast_US_stringency_low_95","forecast_US_stringency_high_95"
2021-06-01,47.1344133842696,45.5546780976707,48.7141486708686,44.7184167516837,49.5504100168556
2021-06-02,47.5266677720007,45.2581679206743,49.7951676233272,44.0572966385459,50.9960389054556
2021-06-03,47.9356291170053,45.1105810262563,50.7606772077542,43.6150909027598,52.2561673312508
2021-06-04,48.3601929309124,45.0402241699526,51.6801616918723,43.2827388695815,53.4376469922433
2021-06-05,48.799284970532,45.0196142981405,52.5789556429234,43.0187775056127,54.5797924354512
2021-06-06,49.2518617540487,45.034937732107,53.4687857759904,42.8026329982512,55.7010905098462
2021-06-07,49.7169109249416,45.078230409369,54.3555914405141,42.6226612741705,56.8111605757126
2021-06-08,50.1934514805913,45.1444943984863,55.2424085626963,42.4717379682606,57.915164992922
2021-06-09,50.6805338808178,45.230399566811,56.1306681948247,42.3452727383448,59.0157950232909
2021-06-10,51.1772400500395,45.333619240195,57.0208608598841,42.2401932432363,60.1142868568428
2021-06-11,51.6826832853595,45.4524590332621,57.9129075374569,42.1543775362812,61.2109890344378
2021-06-12,52.1960080816412,45.5856360351169,58.8063801281655,42.0863164516425,62.3056997116398
2021-06-13,52.716389883517,45.7321412772536,59.7006384897804,42.034903398396,63.397876368638
2021-06-14,53.2430347732726,45.8911511189214,60.5949184276237,41.9992990013658,64.4867705451794
2021-06-15,53.7751791026496,46.0619687001913,61.488389505108,41.9788417562286,65.5715164490707
2021-06-16,54.3120890758004,46.2439845452759,62.3801936063249,41.972987998262,66.6511901533388
2021-06-17,54.8530602899011,46.4366497094632,63.2694708703389,41.981271077307,67.7248495024952
2021-06-18,55.3974172392774,46.6394573265988,64.155377151956,42.0032733995786,68.7915610789762
2021-06-19,55.9445127883093,46.8519298820467,65.0370956945719,42.0386072423658,69.8504183342528
2021-06-20,56.4937276178501,47.073610441876,65.9138447938241,42.0869016332785,70.9005536024216
2021-06-21,57.0444696494215,47.3040566446003,66.7848826542426,42.1477934662183,71.9411458326246
2021-06-22,57.5961734510154,47.5428366366872,67.6495102653436,42.2209215998264,72.9714253022044
2021-06-23,58.1482996279482,47.7895263824277,68.5070728734687,42.305923065746,73.9906761901504
2021-06-24,58.700334201862,48.0437079476227,69.3569604561013,42.4024307724849,74.9982376312391
2021-06-25,59.2517879806544,48.3049684726778,70.198607488631,42.5100722684372,75.9935036928717
2021-06-26,59.8021959218355,48.5728996316189,71.0314922120522,42.6284692515388,76.9759225921323
2021-06-27,60.3511164915505,48.8470974305785,71.8551355525225,42.7572376003911,77.9449953827098
2021-06-28,60.8981310212784,49.1271622399042,72.6690998026525,42.89598776391,78.9002742786468
2021-06-29,61.4428430640048,49.4126989831837,73.4729871448259,43.0443253912358,79.8413607367738
2021-06-30,61.9848777514792,49.7033174275602,74.2664380753982,43.2018521159808,80.7679033869776
2021-07-01,62.5238811539947,49.9986325350456,75.0491297729438,43.3681664324275,81.6795958755619
2021-07-02,63.0595196439705,50.2982648457492,75.8207744421917,43.5428646185256,82.5761746694153
2021-07-03,63.5914792644818,50.6018408721796,76.5811176567839,43.7255416732059,83.4574168557577
2021-07-04,64.1194651037491,50.9089934898378,77.3299367176604,43.9157922448642,84.3231379626339
2021-07-05,64.6432006764848,51.2193623137916,78.067039039178,44.1132115347797,85.1731898181898
2021-07-06,65.1624273128904,51.532594054229,78.7922605715517,44.3173961643309,86.0074584614499
2021-07-07,65.6769035560018,51.8483428464223,79.5054642655814,44.5279449986582,86.8258621133455
2021-07-08,66.1864045679944,52.1662705523285,80.2065385836604,44.7444599222066,87.6283492137823
2021-07-09,66.690721545978,52.4860470323668,80.8953960595891,44.9665465636308,88.4148965283251
2021-07-10,67.1896611477442,52.8073503868682,81.5719719086203,45.1938149690531,89.1855073264354
2021-07-11,67.6830449278621,53.1298671673828,82.2362226883414,45.4258802237424,89.9402096319818
2021-07-12,68.1707087844562,53.453292558516,82.8881250103963,45.6623630230665,90.6790545458458
2021-07-13,68.6525024169522,53.7773305313028,83.5276743026016,45.9028901941103,91.402114639794
2021-07-14,69.1282887950234,54.1016939693553,84.1548836206914,46.1470951697246,92.1094824203222
2021-07-15,69.5979436389266,54.4261047691598,84.7697825086933,46.39461841701,92.8012688608431
2021-07-16,70.0613549113777,54.7502939159774,85.3724159067781,46.6451078223828,93.4776020003727
2021-07-17,70.5184223210783,55.0740015368379,85.9628431053188,46.8982190354388,94.1386256067179
2021-07-18,70.9690568379722,55.3969769321153,86.5411367438292,47.1536157738512,94.7844979020932
2021-07-19,71.413180220281,55.7189785871488,87.1073818534133,47.4109700915163,95.4153903490458
2021-07-20,71.8507245533392,56.0397741653324,87.6616749413461,47.6699626121105,96.031486494568
2021-07-21,72.2816318002249,56.3591404840435,88.2041231164062,47.930282730158,96.6329808702917
2021-07-22,72.705853364159,56.6768634747185,88.7348432535995,48.1916287816237,97.2200779466943
2021-07-23,73.1233496626265,56.9927381283196,89.2539611969333,48.4537081859586,97.7929911392944
2021-07-24,73.5340897131526,57.3065684273698,89.7616109989354,48.7162375614325,98.3519418648727
2021-07-25,73.9380507306524,57.6181672656619,90.2579341956428,48.9789428154908,98.897158645814
2021-07-26,74.3352177362558,57.9273563566846,90.743079115827,49.2415592117788,99.4288762607328
2021-07-27,74.7255831774954,58.2339661317359,91.2172002232549,49.5038314153806,99.9473349396102
2021-07-28,75.1091465597354,58.5378356286374,91.6804574908334,49.7655135177323,100.452779601738
