"Date","forecast_Sing_economic","forecast_Sing_economic_low_80","forecast_Sing_economic_high_80","forecast_Sing_economic_low_95","forecast_Sing_economic_high_95"
2021-06-01,100.367641115174,96.9676419447253,103.767640285623,95.16779110468,105.567491125669
2021-06-02,100.707208582907,95.9608913200518,105.453525845763,93.4483427327108,107.966074433104
2021-06-03,101.026840400914,95.2794530000424,106.774227801785,92.2369698925661,109.816710909262
2021-06-04,101.331944564164,94.7626124996534,107.901276628675,91.2850181703333,111.378870957995
2021-06-05,101.626095693785,94.349273818637,108.902917568934,90.4971570067626,112.755034380808
2021-06-06,101.911638801263,94.0086161148629,109.814661487663,89.8250086173542,113.998268985171
2021-06-07,102.19009575784,93.7224925682047,110.657698947475,89.2400142057107,115.140177309969
2021-06-08,102.462438856529,93.4790796202337,111.445798092825,88.7235764988196,116.201301214239
2021-06-09,102.729274845629,93.27009997347,112.188449717788,88.2627152694489,117.195834421809
2021-06-10,102.990968658597,93.0894441763441,112.89249314085,87.8478937336249,118.134043583569
2021-06-11,103.247726529164,92.9324197781637,113.563033280165,87.4718262337654,119.023626824563
2021-06-12,103.499651755947,92.7953114061423,114.203992105753,87.1287759145517,119.870527597343
2021-06-13,103.7467820524,92.6751071852593,114.818456919541,86.8141165463408,120.67944755846
2021-06-14,103.989114501778,92.569319903177,115.408909100379,86.5240458101476,121.454183193408
2021-06-15,104.226622172128,92.4758650696445,115.977379274611,86.255390010152,122.197854334104
2021-06-16,104.459265122709,92.3929747359066,116.525555509511,86.0054664454122,122.913063800006
2021-06-17,104.686997641498,92.3191347035888,117.054860579408,85.7719835478366,123.60201173516
2021-06-18,104.909772952699,92.2530375752418,117.566508330157,85.5529665871833,124.266579318215
2021-06-19,105.127546228442,92.193546867372,118.061545589512,85.3467011923794,124.908391264505
2021-06-20,105.340276466234,92.1396690574887,118.540883874979,85.1516896073051,125.528863325163
2021-06-21,105.547927610042,92.0905314551282,119.005323764955,84.9666162539828,126.129238966101
2021-06-22,105.750469169181,92.0453644351762,119.455573903185,84.7903202331656,126.710618105196
2021-06-23,105.947876505872,92.0034869965162,119.892266015228,84.6217730859745,127.27397992577
2021-06-24,106.140130906195,91.9642948946645,120.315966917726,84.4600606067693,127.820201205622
2021-06-25,106.327219511371,91.9272507937432,120.727188229,84.3043678182668,128.350071204476
2021-06-26,106.509135160904,91.8918760216118,121.126394300196,84.1539664451395,128.864303876669
2021-06-27,106.685876181948,91.8577436112697,121.514008752627,84.0082043832603,129.363547980636
2021-06-28,106.857446147785,91.8244723841895,121.890419911381,83.8664967787973,129.848395516773
2021-06-29,107.023853620529,91.7917218849967,122.25598535606,83.7283184176783,130.319388823379
2021-06-30,107.185111887988,91.7591880173358,122.61103575864,83.5931971905199,130.777026585456
2021-07-01,107.341238701124,91.7265992615198,122.955878140728,83.4607084470037,131.221768955244
2021-07-02,107.4922560162,91.6937133782257,123.290798654173,83.3304700911123,131.654041941287
2021-07-03,107.638189744159,91.6603145208912,123.616064967426,83.2021382975894,132.074241190728
2021-07-04,107.779069508743,91.6262106938721,123.931928323614,83.0754037525753,132.482735264911
2021-07-05,107.914928414139,91.5912315048071,124.238625323471,82.9499883391429,132.879868489136
2021-07-06,108.04580282253,91.5552261687094,124.53637947635,82.8256422025783,133.265963442481
2021-07-07,108.171732141596,91.5180617285667,124.825402554626,82.7021411415123,133.64132314168
2021-07-08,108.292758621859,91.4796214630908,125.105895780627,82.5792842800644,134.006232963654
2021-07-09,108.408927163598,91.4398034570105,125.378050870185,82.4568919835056,134.36096234369
2021-07-10,108.520285133043,91.3985193131872,125.642050952899,82.3348039859105,134.705766280175
2021-07-11,108.626882187483,91.3556929890098,125.898071385957,82.2128777031611,135.040886671806
2021-07-12,108.728770108914,91.3112597421563,126.146280475671,82.0909867086877,135.36655350914
2021-07-13,108.826002645836,91.2651651729603,126.386840118712,81.9690193526419,135.682985939031
2021-07-14,108.918635362853,91.2173643524699,126.619906373236,81.846877507998,135.990393217708
2021-07-15,109.006725497669,91.167821026758,126.845629968581,81.7244754293477,136.288975565991
2021-07-16,109.090331825158,91.1165068893353,127.064156760981,81.6017387121137,136.578924938203
2021-07-17,109.169514528144,91.0634009145886,127.275628141699,81.4786033415323,136.860425714755
2021-07-18,109.244335074575,91.0084887460565,127.480181403093,81.355014822124,137.133655327026
2021-07-19,109.314856100779,90.9517621341477,127.67795006741,81.2309273795594,137.398784821998
2021-07-20,109.381141300496,90.8932184185443,127.869064182447,81.1063032278037,137.655979373188
2021-07-21,109.443255319415,90.8328600511088,128.053650587722,80.9811118952957,137.905398743535
2021-07-22,109.501263654949,90.7706941555937,128.231833154305,80.85532960464,138.147197705258
2021-07-23,109.555232560972,90.7067321208589,128.403733001085,80.7289387009115,138.381526421033
2021-07-24,109.605228957317,90.6409892246893,128.569468689944,80.6019271242469,138.608530790387
2021-07-25,109.651320343769,90.573484285592,128.729156401945,80.4742879228407,138.828352764697
2021-07-26,109.693574718358,90.5042393402318,128.882910096484,80.3460188028808,139.041130633835
2021-07-27,109.73206049974,90.433279344419,129.030841655061,80.217121712337,139.246999287143
2021-07-28,109.766846453471,90.3606318957501,129.173061011191,80.0876024558046,139.446090451137
2021-07-29,109.798001621994,90.2863269762038,129.309676267784,79.957470337901,139.638532906086
2021-07-30,109.825595258164,90.2103967131463,129.440793803181,79.8267378329463,139.824452683381
2021-07-31,109.849696762135,90.1328751573424,129.566518366928,79.6954202788684,140.003973245402
2021-08-01,109.870375621468,90.0537980767098,129.686953166227,79.5635355934848,140.177215649452
2021-08-02,109.8877013543,89.9732027646555,129.802199943945,79.4311040114609,140.344298697139
2021-08-03,109.901743455434,89.8911278619302,129.912359048937,79.2981478403984,140.505339070469
2021-08-04,109.912571345223,89.8076131910457,130.0175294994,79.1646912346579,140.660451455788
2021-08-05,109.92025432111,89.7226996023533,130.117809039866,79.030759985611,140.809748656608
2021-08-06,109.924861511706,89.6364288309872,130.213294192426,78.8963813271599,140.953341696253
2021-08-07,109.926461833305,89.5488433639128,130.304080302698,78.7615837554301,141.091339911181
2021-08-08,109.925123948697,89.4599863163928,130.390261581002,78.6263968616395,141.223851035755
2021-08-09,109.92091622821,89.3699013172412,130.471931139178,78.4908511772362,141.350981279183
2021-08-10,109.913906712852,89.2786324022714,130.549181023433,78.3549780304498,141.472835395255
2021-08-11,109.904163079492,89.1862239154035,130.622102243581,78.2188094134852,141.589516745499
2021-08-12,109.891752607947,89.0927204169172,130.690784798977,78.0823778596246,141.701127356269
2021-08-13,109.876742149937,88.9981665983966,130.755317701478,77.9457163295844,141.80776797029
2021-08-14,109.859198099794,88.9026072039197,130.815788995668,77.8088581064917,141.909538093096
2021-08-15,109.83918636686,88.8060869571062,130.872285776613,77.671836698921,142.006536034798
2021-08-16,109.816772349509,88.7086504936378,130.92489420538,77.5346857514488,142.098858947569
2021-08-17,109.792020910705,88.6103422989014,130.973699522509,77.397438962225,142.186602859185
2021-08-18,109.764996355045,88.5112066504443,131.018786059645,77.2601300071168,142.269862702972
2021-08-19,109.735762407214,88.4112875649167,131.060237249511,77.1227924699709,142.348732344456
2021-08-20,109.704382191804,88.3106287492432,131.098135634366,76.9854597786192,142.42330460499
2021-08-21,109.670918214425,88.2092735557335,131.132562873116,76.8481651462281,142.493671282621
2021-08-22,109.635432344057,88.1072649409082,131.163599747205,76.7109415176657,142.559923170448
2021-08-23,109.597985796604,88.0046454277904,131.191326165417,76.573821520542,142.622150072666
2021-08-24,109.558639119577,87.9014570714544,131.2158211677,76.4368374206266,142.680440818528
2021-08-25,109.517452177879,87.79774142763,131.237162928128,76.3000210813587,142.7348832744
2021-08-26,109.474484140631,87.693539524166,131.255428757097,76.1634039271774,142.785564354085
2021-08-27,109.429793469011,87.5888918351818,131.27069510284,76.0270169104291,142.832570027592
2021-08-28,109.383437905044,87.4838382577328,131.283037552356,75.8908904816117,142.875985328477
2021-08-29,109.335474461329,87.3784180908347,131.292530831823,75.755054562738,142.915894359919
2021-08-30,109.285959411631,87.2726700166997,131.299248806563,75.619538523613,142.952380299649
2021-08-31,109.23494828234,87.166632084044,131.303264480637,75.4843711608319,142.985525403849
2021-09-01,109.182495844733,87.0603416933406,131.304649996125,75.3495806793203,143.015411010146
2021-09-02,109.128656108013,86.9538355838872,131.303476632138,75.2151946762394,143.042117539786
2021-09-03,109.073482313101,86.8471498225779,131.299814803624,75.0812401271025,143.065724499099
2021-09-04,109.017026927142,86.7403197942709,131.293734060013,74.9477433739517,143.086310480333
2021-09-05,108.959341638696,86.6333801936468,131.285303083746,74.8147301154513,143.103953161941
2021-09-06,108.900477353591,86.5263650184661,131.274589688715,74.682225398772,143.118729308409
2021-09-07,108.8404841914,86.4193075641263,131.261660818673,74.5502536131298,143.13071476967
2021-09-08,108.779411482534,86.3122404194435,131.246582545624,74.4188384848763,143.139984480191
2021-09-09,108.717307765904,86.2051954635686,131.229420068239,74.2880030740182,143.146612457789
2021-09-10,108.654220787143,86.0982038639691,131.210237710318,74.1577697720718,143.150671802215
2021-09-11,108.590197497368,85.9912960754029,131.189098919333,74.0281603011512,143.152234693585
2021-09-12,108.525284052433,85.8845018398106,131.166066265056,73.8991957141945,143.151372390672
2021-09-13,108.459525812691,85.7778501870699,131.141201438313,73.7708963962492,143.148155229133
2021-09-14,108.392967343216,85.671369436556,131.114565249875,73.643282066737,143.142652619694
2021-09-15,108.325652414468,85.5650871994358,131.0862176295,73.5163717826106,143.134933046325
2021-09-16,108.2576240034,85.4590303816568,131.056217625143,73.3901839423423,143.125064064457
2021-09-17,108.188924294962,85.3532251875751,131.024623402349,73.264736290672,143.113112299252
2021-09-18,108.119594684008,85.2476971241725,130.991492243844,73.1400459240505,143.099143443966
2021-09-19,108.049675777573,85.1424710058228,130.956880549322,73.0161292967219,143.083222258423
2021-09-20,107.97920739751,85.0375709595605,130.920843835459,72.893002227385,143.065412567635
2021-09-21,107.90822858348,84.9330204308191,130.88343673614,72.7706799063886,143.04577726057
2021-09-22,107.836777596252,84.8288421895876,130.844713002917,72.6491769033973,143.024378289107
2021-09-23,107.764891921335,84.7250583369651,130.804725505706,72.5285071754962,143.001276667175
2021-09-24,107.692608272897,84.6216903120718,130.763526233722,72.4086840756838,142.97653247011
2021-09-25,107.619962597972,84.5187588992838,130.721166296661,72.2897203617091,142.950204834236
2021-09-26,107.546990080945,84.4162842357669,130.677695926122,72.1716282052225,142.922351956667
2021-09-27,107.473725148285,84.3142858192782,130.633164477293,72.0544192011967,142.893031095374
2021-09-28,107.400201473539,84.2127825162074,130.58762043087,71.9381043775876,142.86229856949
2021-09-29,107.326451982545,84.1117925698394,130.541111395251,71.8226942052046,142.830209759886
