"Date","forecast_UK_response","forecast_UK_response_low_80","forecast_UK_response_high_80","forecast_UK_response_low_95","forecast_UK_response_high_95"
2021-06-01,68.6400424576322,66.9935615752119,70.2865233400525,66.1219672451018,71.1581176701627
2021-06-02,68.4937177703607,66.2101001692982,70.7773353714232,65.0012260338755,71.9862095068459
2021-06-03,68.359420179821,65.611900178021,71.1069401816211,64.1574509457207,72.5613894139214
2021-06-04,68.2357370591352,65.1140355299019,71.3574385883686,63.461506562073,73.0099675561975
2021-06-05,68.1214252375408,64.6817205103232,71.5611299647584,62.8608508181777,73.3819996569039
2021-06-06,68.015390273665,64.2961005725451,71.7346799747849,62.3272275354235,73.7035530119064
2021-06-07,67.9166683073189,63.9453861195611,71.8879504950766,61.8431163179044,73.9902202967333
2021-06-08,67.8244101663025,63.6215468559196,72.0272734766855,61.3966854131477,74.2521349194574
2021-06-09,67.7378674454363,63.318803015728,72.1569318751447,60.9794916137859,74.4962432770868
2021-06-10,67.6563803106136,63.0328379209493,72.2799227002779,60.5852824255392,74.727478195688
2021-06-11,67.5793668117938,62.7603449689391,72.3983886546485,60.2093089017999,74.9494247217877
2021-06-12,67.5063135160409,62.4987467747538,72.513880257328,59.8479010674302,75.1647259646515
2021-06-13,67.4367672954676,62.2460103854133,72.627524205522,59.4981896605634,75.3753449303719
2021-06-14,67.3703281257093,62.0005197168591,72.7401365345594,59.1579148540247,75.5827413973938
2021-06-15,67.3066427687159,61.7609839794139,72.8523015580179,58.8252895482851,75.7879959891468
2021-06-16,67.2453992294987,61.52636981484,72.9644286441574,58.4988985184697,75.9918999405277
2021-06-17,67.1863218903475,61.2958496989622,73.0767940817327,58.177622078769,76.195021701926
2021-06-18,67.1291672381403,61.0687619002751,73.1895725760054,57.8605771062385,76.3977573700421
2021-06-19,67.0737201109694,60.8445789014968,73.302861320442,57.5470707326493,76.6003694892895
2021-06-20,67.0197903995683,60.6228821817912,73.4166986173455,57.2365635233844,76.8030172757523
2021-06-21,66.967210147102,60.4033418851074,73.5310784090966,56.9286399181249,77.0057803760791
2021-06-22,66.9158309979781,60.1857003102852,73.645961685671,56.6229843316636,77.2086776642926
2021-06-23,66.8655219524996,59.9697584344951,73.7612854705041,56.3193617318996,77.4116821730996
2021-06-24,66.8161673896078,59.7553648724945,73.8769699067211,56.0176018011752,77.6147329780403
2021-06-25,66.7676653246681,59.5424068097833,73.9929238395529,55.7175859920056,77.8177446573306
2021-06-26,66.7199258733963,59.3308025465778,74.1090492002149,55.4192369372202,78.0206148095725
2021-06-27,66.6728698966321,59.1204953632394,74.2252444300248,55.122509785358,78.2232300079062
2021-06-28,66.6264278038162,58.9114484739467,74.3414071336857,54.8273851163771,78.4254704912553
2021-06-29,66.5805384958083,58.7036408790225,74.4574361125941,54.5338631579736,78.6272138336429
2021-06-30,66.5351484300674,58.4970639606828,74.573232899452,54.2419590740935,78.8283377860413
2021-07-01,66.4902107933575,58.2917186944923,74.6887028922226,53.9516991381644,79.0287224485505
2021-07-02,66.4456847689644,58.0876133709954,74.8037561669335,53.663117636543,79.2282519013859
2021-07-03,66.4015348870383,57.8847617401002,74.9183080339763,53.3762543745036,79.4268153995729
2021-07-04,66.3577304480813,57.683181505639,75.0322793905236,53.0911526790534,79.6243082171092
2021-07-05,66.3142450108303,57.4828931097575,75.145596911903,52.8078578109158,79.8206322107448
2021-07-06,66.2710559368807,57.2839187569447,75.2581931168167,52.5264157129736,80.0156961607878
2021-07-07,66.2281439853274,57.0862816359049,75.37000633475,52.2468720348096,80.2094159358453
2021-07-08,66.1854929515278,56.8900053044782,75.4809805985775,51.9692713832509,80.4017145198048
2021-07-09,66.1430893448186,56.6951132086477,75.5910654809894,51.69365675736,80.5925219322771
2021-07-10,66.1009221006622,56.5016283115442,75.7002158897802,51.420069133427,80.7817750678974
2021-07-11,66.0589823232181,56.3095728123803,75.808391834056,51.1485471713917,80.9694174750446
