"Date","forecast_UK_stringency","forecast_UK_stringency_low_80","forecast_UK_stringency_high_80","forecast_UK_stringency_low_95","forecast_UK_stringency_high_95"
2021-06-01,62.4810385522508,60.3518713488188,64.6102057556828,59.2247583150859,65.7373187894157
2021-06-02,62.4607914041069,59.5066792350436,65.4149035731702,57.9428667155321,66.9787160926816
2021-06-03,62.4396307010865,58.8834462180277,65.9958151841454,57.0009158677793,67.8783455343938
2021-06-04,62.4178657304313,58.3743509445775,66.4613805162851,56.2338435152497,68.601887945613
2021-06-05,62.3957518503369,57.9362068812749,66.8552968193988,55.5754663762335,69.2160373244402
2021-06-06,62.3734982410979,57.5462454283432,67.2007510538525,54.9908521489383,69.7561443332574
2021-06-07,62.351274629174,57.1906696112559,67.511879647092,54.4588103339446,70.2437389244033
2021-06-08,62.3292171160195,56.8603964919398,67.7980377400991,53.9653777284478,70.6930565035911
2021-06-09,62.3074332267921,56.5491211105379,68.0657453430463,53.5008548080745,71.1140116455097
2021-06-10,62.2860062794478,56.2523112677685,68.3197012911272,53.0582660663062,71.5137464925895
2021-06-11,62.2649991619514,55.9666331017116,68.5633652221913,52.6324795104509,71.8975188134519
2021-06-12,62.2444575941775,55.6895979068928,68.7993172814622,52.2196647912972,72.2692503970578
2021-06-13,62.2244129413367,55.4193320738925,69.0294938087809,51.8169398667708,72.6318860159026
2021-06-14,62.2048846372541,55.1544201302891,69.255349144219,51.4221296709668,72.9876396035413
2021-06-15,62.1858822683818,54.8937935936532,69.4779709431105,51.0335950262629,73.3381695105007
2021-06-16,62.1674073629489,54.6366498858745,69.6981648400232,50.6501076863657,73.684707039532
2021-06-17,62.1494549239645,54.3823917681648,69.9165180797641,50.2707568986172,74.0281529493117
2021-06-18,62.1320147398545,54.1305812664113,70.1334482132977,49.8948782450951,74.3691512346139
2021-06-19,62.1150725021744,53.8809041267131,70.3492408776357,49.5219986903651,74.7081463139836
