"Date","forecast_UK_health","forecast_UK_health_low_80","forecast_UK_health_high_80","forecast_UK_health_low_95","forecast_UK_health_high_95"
2021-06-01,64.2093344225985,62.414860352151,66.0038084930461,61.4649231606346,66.9537456845625
2021-06-02,64.0826508398878,61.6075732565028,66.5577284232728,60.2973463286991,67.8679553510766
2021-06-03,63.9682856387,61.0074898670229,66.9290814103771,59.4401392620073,68.4964320153926
2021-06-04,63.8647739310833,60.520540610298,67.2090072518687,58.7502104278561,68.9793374343105
2021-06-05,63.7708252863867,60.1079810407952,67.4336695319783,58.1689884228904,69.3726621498831
2021-06-06,63.6853024812184,59.7486846901733,67.6219202722634,57.6647651116829,69.7058398507538
2021-06-07,63.6072028886657,59.4293513563443,67.7850544209871,57.2177303490838,69.9966754282476
2021-06-08,63.5356421758441,59.1408520524057,67.9304322992826,56.8143906919904,70.2568936596978
2021-06-09,63.4698400204917,58.8765601111663,68.0631199298171,56.445024605153,70.4946554358304
2021-06-10,63.4091075937145,58.6314805489533,68.1867346384757,56.1023575642554,70.7158576231736
2021-06-11,63.3528365878199,58.4017497391403,68.3039234364995,55.7808026809219,70.9248704947179
2021-06-12,63.3004895959833,58.1843256472318,68.4166535447349,55.475992050858,71.1249871411086
2021-06-13,63.251591674788,57.9767842465044,68.5263991030717,55.1844698649629,71.3187134846132
2021-06-14,63.2057229419139,57.7771789939521,68.6342668898756,54.9034814148814,71.5079644689463
2021-06-15,63.1625120798342,57.5839398010668,68.7410843586017,54.63082202108,71.6942021385885
2021-06-16,63.1216306325831,57.3957978964678,68.8474633686984,54.3647251392662,71.8785361259
2021-06-17,63.0827879968605,57.2117283596351,68.9538476340858,54.1037771248645,72.0617988688565
2021-06-18,63.0457270211181,57.0309051567446,69.0605488854917,53.8468507959649,72.2446032462714
2021-06-19,63.0102201371168,56.8526653114291,69.1677749628045,53.5930526850603,72.4273875891733
2021-06-20,62.9760659579218,56.6764799443184,69.2756519715253,53.3416805487572,72.6104513670865
2021-06-21,62.9430862845593,56.5019306084881,69.3842419606305,53.0921887605486,72.7939838085699
2021-06-22,62.9111234708231,56.3286897964963,69.4935571451499,52.8441598938861,72.9780870477602
2021-06-23,62.8800381020181,56.1565047923074,69.6035714117288,52.5972812546272,73.1627949494091
2021-06-24,62.8497069489863,55.9851842439562,69.7142296540164,52.351325428771,73.3480884692017
2021-06-25,62.8200211635712,55.8145869741097,69.8254553530327,52.1061341249523,73.5339082021902
2021-06-26,62.7908846859154,55.6446126469086,69.9371567249222,51.8616047437331,73.7201646280978
2021-06-27,62.7622128376844,55.4751939839,70.0492316914689,51.6176792176013,73.9067464577675
2021-06-28,62.7339310785246,55.306290278028,70.1615718790213,51.3743347497673,74.093527407282
2021-06-29,62.7059739059187,55.1378819981503,70.2740658136871,51.1315761448644,74.280371666973
2021-06-30,62.6782838810321,54.9699663109165,70.3866014511476,50.8894294759395,74.4671382861246
2021-07-01,62.6508107653424,54.8025533746616,70.4990681560232,50.6479368734925,74.6536846571923
2021-07-02,62.6235107547079,54.6356632827332,70.6113582266826,50.4071522561588,74.839869253257
2021-07-03,62.5963457991941,54.4693235526232,70.7233680457649,50.1671378507292,75.025553747659
2021-07-04,62.5692829984251,54.3035670731597,70.8349989236905,49.9279613727324,75.2106046241179
2021-07-05,62.5422940634726,54.1384304354163,70.946157691529,49.6896937586406,75.3948943683047
2021-07-06,62.5153548374317,53.9739525844061,71.0567570904572,49.4524073576045,75.5783023172588
2021-07-07,62.488444867775,53.810173738278,71.1667159972719,49.216174504889,75.760715230661
2021-07-08,62.461547024431,53.6471345299824,71.2759595188795,48.9810664113411,75.9420276375209
2021-07-09,62.4346471582713,53.4848753333928,71.3844189831498,48.747152313568,76.1221420029746
2021-07-10,62.4077337953621,53.3234357418652,71.4920318488591,48.5144988383161,76.3009687524082
2021-07-11,62.3807978628511,53.1628541722536,71.5987415534486,48.2831695419714,76.4784261837308
2021-07-12,62.3538324429207,53.0031675717809,71.7044973140606,48.0532245925063,76.6544402933351
2021-07-13,62.326832551623,52.8444112087798,71.8092538944661,47.8247205665241,76.8289445367218
2021-07-14,62.2997949398258,52.6866185314613,71.9129713481902,47.5977103386356,77.0018795410159
2021-07-15,62.2727179138153,52.5298210814718,72.0156147461588,47.3722430442241,77.1731927834066
2021-07-16,62.2456011733988,52.3740484512317,72.1171538955659,47.1483640999035,77.3428382468941
2021-07-17,62.2184456656062,52.2193282759152,72.2175630552973,46.9261152686983,77.5107760625141
2021-07-18,62.1912534523182,52.0656862525102,72.3168206521262,46.7055347592664,77.67697214537
2021-07-19,62.1640275903391,51.9131461797187,72.4149090009594,46.4866573504072,77.8413978302709
2021-07-20,62.13677202261,51.7617300135702,72.5118140316498,46.2695145337029,78.004029511517
2021-07-21,62.1094914794062,51.6114579345494,72.607525024263,46.0541346684854,78.1648482903269
2021-07-22,62.082191388507,51.462348422832,72.702034354182,45.8405431444515,78.3238396325625
2021-07-23,62.0548777934132,51.3144183388368,72.7953372479897,45.6287625481505,78.4809930386759
2021-07-24,62.0275572788384,51.1676830068963,72.8874315507806,45.4188128303897,78.6363017272872
2021-07-25,62.0002369027394,51.0221563002456,72.9783175052333,45.2107114721945,78.7897623332844
2021-07-26,61.9729241342679,50.8778507259378,73.0679975425981,45.0044736475221,78.9413746210137
2021-07-27,61.945626797073,50.7347775085843,73.1564760855618,44.8001123813445,79.0911412128015
2021-07-28,61.9183530174605,50.5929466720829,73.2437593628381,44.5976387020841,79.2390673328369
2021-07-29,61.8911111769609,50.4523671187017,73.32985523522,44.3970617876707,79.3851605662511
2021-07-30,61.8639098689003,50.3130467050492,73.4147730327514,44.198389104718,79.5294306330827
2021-07-31,61.8367578586315,50.1749923146235,73.4985234026394,44.0016265405306,79.6718891767324
2021-08-01,61.8096640470977,50.0382099267247,73.5811181674706,43.806778527784,79.8125495664113
2021-08-02,61.7826374374341,49.9027046816019,73.6625701932663,43.6138481618391,79.9514267130292
2021-08-03,61.755687104372,49.768480941815,73.742893266929,43.4228373107828,80.0885368979613
2021-08-04,61.7288221661875,49.6355423497955,73.8221019825795,43.2337467183095,80.2238976140655
2021-08-05,61.702051759012,49.5038918816903,73.9002116363338,43.0465760996675,80.3575274183565
2021-08-06,61.6753850132863,49.3735318975522,73.9772381290204,42.8613242308826,80.48944579569
2021-08-07,61.6488310322203,49.2444641880262,74.0531978764143,42.6779890315618,80.6196730328787
2021-08-08,61.6223988720727,49.1166900176394,74.128107726506,42.4965676415386,80.7482301026068
2021-08-09,61.596097524137,48.9902101648698,74.2019848834042,42.3170564916889,80.8751385565851
2021-08-10,61.5699358982796,48.86502495913,74.2748468374293,42.1394513692077,81.0004204273515
2021-08-11,61.5439228079384,48.7411343148515,74.3467113010252,41.9637474776772,81.1240981381995
2021-08-12,61.5180669564592,48.6185377628223,74.417596150096,41.7899394922262,81.2461944206922
2021-08-13,61.4923769246715,48.49723447894,74.4875193704031,41.6180216100822,81.3667322392609
2021-08-14,61.4668611596272,48.3772233105576,74.5564990086967,41.4479875968249,81.4857347224294
2021-08-15,61.4415279644148,48.2585028005783,74.6245531282513,41.2798308286272,81.6032251002025
2021-08-16,61.416385488959,48.1410712094339,74.691699768484,41.1135443307396,81.7192266471783
2021-08-17,61.3914417217591,48.0249265351254,74.7579569083928,40.9491208125129,81.8337626310054
2021-08-18,61.3667044824914,47.9100665314529,74.82334243353,40.7865526991939,81.9468562657889
2021-08-19,61.3421814154101,47.7964887245677,74.8878741062525,40.6258321607343,82.058530670086
2021-08-20,61.3178799835052,47.6841904279881,74.9515695390224,40.4669511378462,82.1688088291643
2021-08-21,61.2938074633516,47.5731687561874,75.0144461705158,40.3099013655114,82.2777135611918
2021-08-22,61.2699709406175,47.4634206368843,75.0765212443507,40.1546743941549,82.38526748708
2021-08-23,61.2463773061735,47.3549428221304,75.1378117902167,40.0012616086618,82.4914930036852
2021-08-24,61.2230332527706,47.2477318983045,75.1983346072367,39.8496542454207,82.5964122601205
2021-08-25,61.1999452722479,47.141784295112,75.2581062493838,39.6998434075651,82.7000471369308
2021-08-26,61.177119653229,47.0370962936669,75.3171430127912,39.5518200785532,82.8024192279049
2021-08-27,61.1545624792833,46.9336640337532,75.3754609248134,39.4055751342472,82.9035498243193
2021-08-28,61.1322796275118,46.8314835203351,75.4330757346885,39.2610993536178,83.0034599014058
2021-08-29,61.1102767675272,46.73055062938,75.4900029056744,39.1183834281898,83.1021701068646
2021-08-30,61.0885593608101,46.6308611130777,75.5462576085424,38.9774179703647,83.1997007512554
2021-08-31,61.0671326604161,46.5324106045122,75.6018547163201,38.8381935207211,83.2960718001112
2021-09-01,61.0460017109956,46.4351946218278,75.6568088001634,38.700700554376,83.3913028676151
2021-09-02,61.0251713491125,46.339208571957,75.7111341262681,38.5649294865162,83.4854132117089
2021-09-03,61.0046462038478,46.2444477539584,75.7648446537372,38.430870677185,83.5784217305106
2021-09-04,60.9844306976503,46.1509073619943,75.8179540333063,38.2985144353847,83.6703469599159
2021-09-05,60.9645290474383,46.0585824880094,75.8704756068673,38.1678510225909,83.7612070722858
2021-09-06,60.9449452659181,45.9674681241336,75.9224224077026,38.0388706557288,83.8510198761073
2021-09-07,60.9256831630976,45.8775591648352,75.97380716136,37.9115635096651,83.9398028165301
2021-09-08,60.9067463480005,45.7888504088767,76.0246422871244,37.7859197192917,84.0275729767094
2021-09-09,60.8881382305499,45.7013365610864,76.0749399000134,37.6619293812383,84.1143470798616
2021-09-10,60.8698620236097,45.6150122339718,76.1247118132476,37.5395825552584,84.200141491961
2021-09-11,60.8519207451789,45.5298719492073,76.1739695411505,37.418869265344,84.2849722250138
2021-09-12,60.8343172207154,45.4459101390044,76.2227243024264,37.2997795005904,84.3688549408404
2021-09-13,60.8170540855797,45.363121147388,76.2709870237714,37.1823032158545,84.4518049553049
2021-09-14,60.8001337875954,45.2814992314006,76.3187683437903,37.0664303322412,84.5338372429497
2021-09-15,60.7835585897153,45.2010385622515,76.3660786171791,36.9521507374495,84.6149664419811
2021-09-16,60.7673305727682,45.1217332264056,76.4129279191307,36.8394542859838,84.6952068595525
2021-09-17,60.751451638297,45.0435772266492,76.4593260499448,36.7283307992811,84.7745724773129
2021-09-18,60.7359235114647,44.9665644831231,76.5052825398062,36.6187700657532,84.8530769571762
2021-09-19,60.7207477440278,44.8906888343448,76.5508066537108,36.5107618407752,84.9307336472803
2021-09-20,60.7059257173702,44.815944038225,76.5959073965155,36.4042958466352,85.0075555881053
2021-09-21,60.6914586455869,44.7423237730858,76.640593518088,36.2993617724579,85.0835555187159
2021-09-22,60.6773475786087,44.6698216386829,76.6848735185345,36.1959492741148,85.1587458831027
2021-09-23,60.6635934053694,44.5984311572452,76.7287556534935,36.0940479741364,85.2331388366024
2021-09-24,60.6501968569984,44.5281457745262,76.7722479394705,35.9936474616313,85.3067462523654
2021-09-25,60.6371585100398,44.4589588608769,76.8153581592027,35.8947372922224,85.3795797278572
2021-09-26,60.6244787896998,44.3908637123522,76.8580938670475,35.7973069880198,85.4516505913798
2021-09-27,60.6121579731017,44.3238535518375,76.9004623943659,35.7013460376211,85.5229699085823
2021-09-28,60.6001961925525,44.2579215302038,76.9424708549013,35.606843896148,85.5935484889571
2021-09-29,60.5885934388181,44.193060727498,76.9841261501382,35.513789985334,85.6633968923022
2021-09-30,60.577349564404,44.1292641541684,77.0254349746396,35.422173693661,85.732525435147
2021-10-01,60.5664642868226,44.0665247523115,77.0664038213338,35.3319843765369,85.8009441971083
2021-10-02,60.5559371918706,44.0048353969696,77.1070389867717,35.2432113565454,85.8686630271958
2021-10-03,60.5457677368879,43.9441888974514,77.1473465763245,35.15584392374,85.9356915500359
2021-10-04,60.5359552540083,43.8845779986898,77.1873325093268,35.069871336,86.0020391720165
2021-10-05,60.5264989533957,43.8259953826352,77.2270025241561,34.9852828194485,86.0677150873428
2021-10-06,60.517397926461,43.7684336696785,77.2663621832434,34.902067568925,86.1327282839969
2021-10-07,60.5086511490606,43.7118854201093,77.3054168780119,34.8202147485235,86.1970875495977
2021-10-08,60.5002574846753,43.6563431356076,77.3441718337431,34.7397134921899,86.2608014771607
2021-10-09,60.4922156875587,43.6017992607605,77.3826321143568,34.6605529043759,86.3238784707414
2021-10-10,60.4845244058676,43.5482461846165,77.4208026271186,34.5827220607579,86.3863267509772
2021-10-11,60.4771821847583,43.4956762422617,77.458688127255,34.5062100090094,86.4481543605073
2021-10-12,60.4701874694498,43.4440817164202,77.4962932224794,34.431005769627,86.5093691692726
2021-10-13,60.4635386082675,43.3934548390927,77.5336223774424,34.3570983368245,86.5699788797106
2021-10-14,60.4572338556421,43.3437877932046,77.5706799180796,34.2844766794667,86.6299910318175
2021-10-15,60.4512713750813,43.2950727142865,77.6074700358761,34.2131297420657,86.6894130080969
2021-10-16,60.4456492421029,43.2473016921706,77.6439967920352,34.1430464458233,86.7482520383825
2021-10-17,60.4403654471315,43.2004667727055,77.6802641215575,34.0742156897194,86.8065152045436
2021-10-18,60.4354178983599,43.1545599594936,77.7162758372262,34.0066263516554,86.8642094450644
2021-10-19,60.4308044245701,43.1095732156403,77.7520356334999,33.9402672896349,86.9213415595053
2021-10-20,60.4265227779159,43.0654984655182,77.7875470903136,33.8751273429895,86.9779182128424
2021-10-21,60.4225706366658,43.022327596545,77.8228136767866,33.8111953336455,87.0339459396861
2021-10-22,60.4189456079062,42.9800524609724,77.8578387548399,33.7484600674295,87.0894311483829
2021-10-23,60.4156452302015,42.9386648776829,77.8926255827202,33.6869103354068,87.1443801249962
2021-10-24,60.4126669762155,42.8981566339974,77.9271773184336,33.6265349152602,87.1987990371708
2021-10-25,60.4100082552904,42.8585194874874,77.9614970230934,33.5673225726939,87.2526939378869
2021-10-26,60.4076664159783,42.8197451677876,77.995587664169,33.5092620628677,87.3060707690889
2021-10-27,60.4056387485371,42.7818253784181,78.0294521186562,33.4523421318614,87.3589353652129
2021-10-28,60.4039224873839,42.744751798609,78.0630931761588,33.3965515181667,87.4112934566011
