"Date","forecast_Sing_health","forecast_Sing_health_low_80","forecast_Sing_health_high_80","forecast_Sing_health_low_95","forecast_Sing_health_high_95"
2021-06-01,69.3071680632346,67.7124716435382,70.901864482931,66.8682903520972,71.746045774372
2021-06-02,69.2163321135752,66.9740302771445,71.458633950006,65.7870273863755,72.6456368407749
2021-06-03,69.12682970744,66.3960030185514,71.8576563963286,64.9503906923092,73.3032687225708
2021-06-04,69.0382116533211,65.9023584425969,72.1740648640454,64.2423380271109,73.8340852795314
2021-06-05,68.950173299479,65.4633533790374,72.4369932199205,63.617542410188,74.2828041887699
2021-06-06,68.8625081739693,65.063612676161,72.6614036717775,63.0525988758043,74.6724174721343
2021-06-07,68.7750766880689,64.6939470174488,72.8562063586891,62.5335274709259,75.016625905212
2021-06-08,68.687784992099,64.3483412082756,73.0272287759224,62.0511784302586,75.3243915539394
2021-06-09,68.6005706747444,64.0226019402034,73.1785394092854,61.5991716805199,75.6019696689688
2021-06-10,68.5133930763663,63.7136669945572,73.3131191581754,61.1728454863005,75.8539406664321
2021-06-11,68.426226714034,63.4192185608341,73.4332348672338,60.7686685521821,76.0837848758858
2021-06-12,68.3390568059737,63.1374514539517,73.5406621579957,60.3838879108215,76.2942257011259
2021-06-13,68.251876213251,62.866926569682,73.6368258568199,60.0163064213544,76.4874460051475
2021-06-14,68.1646833389184,62.6064741736601,73.7228925041768,59.6641359748197,76.6652307030171
2021-06-15,68.0774806747243,62.3551277820575,73.7998335673912,59.3258971427035,76.8290642067451
2021-06-16,67.9902737864484,62.1120775927985,73.8684699800984,59.0003484932603,76.9801990796366
2021-06-17,67.9030705969689,61.8766368410515,73.9295043528863,58.6864355161985,77.1197056777392
2021-06-18,67.8158808720087,61.6482169492797,73.9835447947378,58.3832528901929,77.2485088538246
2021-06-19,67.728715844407,61.4263088137317,74.0311228750823,58.0900160619396,77.3674156268745
2021-06-20,67.6415879335789,61.210468468013,74.0727073991448,57.80603946899,77.4771363981678
2021-06-21,67.554510530863,61.0003059304153,74.1087151313106,57.5307195968437,77.5783014648822
2021-06-22,67.4674978309167,60.7954764078757,74.1395192539576,57.2635216158177,77.6714740460156
2021-06-23,67.3805646956994,60.5956732720346,74.1654561193642,57.0039687108577,77.7571606805411
2021-06-24,67.293726541887,60.4006223870312,74.1868306967428,56.751633466249,77.835819617525
2021-06-25,67.2069992454623,60.2100774818981,74.2039210090266,56.5061308388113,77.9078676521134
2021-06-26,67.1203990591942,60.0238163398765,74.2169817785119,56.2671123736434,77.973685744745
2021-06-27,67.0339425400358,59.8416376336157,74.2262474464559,56.0342614024112,78.0336236776604
2021-06-28,66.9476464843765,59.6633582761919,74.2319346925612,55.8072890263567,78.0880039423964
2021-06-29,66.8615278696857,59.4888111879147,74.2342445514567,55.5859307318147,78.1371250075567
2021-06-30,66.7756038015029,59.3178434011767,74.233364201829,55.369943519892,78.1812640831138
2021-07-01,66.6898914650107,59.1503144423337,74.2294684876876,55.159103457403,78.2206794726184
2021-07-02,66.604408080618,58.9860949422999,74.2227212189361,54.9532035754707,78.2556125857653
2021-07-03,66.5191708631185,58.8250654372719,74.2132762889651,54.7520520570132,78.2862896692238
2021-07-04,66.4341969840776,58.6671153285216,74.2012786396336,54.5554706657945,78.3129233023607
2021-07-05,66.3495035371699,58.5121419760723,74.1868650982674,54.3632933786718,78.3357136956679
2021-07-06,66.2651075062334,58.3600499056943,74.1701651067726,54.1753651897101,78.3548498227568
2021-07-07,66.1810257358427,58.2107501123196,74.1513013593658,53.9915410604255,78.3705104112598
2021-07-08,66.0972749042254,58.0641594459024,74.1303903625483,53.8116849948765,78.3828648135742
2021-07-09,66.0138714983695,57.9202000681051,74.1075429286339,53.6356692219142,78.3920737748248
2021-07-10,65.9308317911797,57.7787989700932,74.0828646122661,53.4633734698065,78.3982901125529
2021-07-11,65.8481718205564,57.6398875432759,74.0564560978369,53.2946843208166,78.4016593202962
2021-07-12,65.7659073702795,57.5034011960944,74.0284135444645,53.1294946352517,78.4023201053072
2021-07-13,65.6840539525857,57.3692790110096,73.9988288941618,52.9677030360933,78.4004048690781
2021-07-14,65.6026267923407,57.2374634367047,73.9677901479767,52.8092134466408,78.3960401380406
2021-07-15,65.5216408127076,57.1079000112386,73.9353816141766,52.6539346746977,78.3893469507174
2021-07-16,65.4411106222235,56.9805371124852,73.9016841319619,52.5017800377425,78.3804412067045
2021-07-17,65.3610505032003,56.8553257327025,73.8667752736981,52.3526670243026,78.369433982098
2021-07-18,65.2814744013686,56.7322192744971,73.8307295282401,52.2065169873906,78.3564318153466
2021-07-19,65.2023959166916,56.6111733658115,73.7936184675716,52.063254866415,78.3415369669681
2021-07-20,65.1238282952769,56.4921456918676,73.7555108986863,51.9228089344415,78.3248476561124
2021-07-21,65.0457844223214,56.3750958422601,73.7164730023828,51.7851105680772,78.3064582765656
2021-07-22,64.9682768160236,56.2599851716173,73.67656846043,51.6500940375925,78.2864595944548
2021-07-23,64.8913176224058,56.1467766724366,73.6358585723751,51.5176963151804,78.2649389296313
2021-07-24,64.8149186109901,56.0354348588708,73.5944023631095,51.3878568995122,78.2419803224681
2021-07-25,64.7390911712744,55.9259256603803,73.5522566821685,51.2605176549583,78.2176646875905
2021-07-26,64.6638463099573,55.8182163242915,73.509476295623,51.1356226640324,78.1920699558821
2021-07-27,64.5891946488663,55.7122753264086,73.4661139713241,51.0131180917819,78.1652712059508
2021-07-28,64.5151464235438,55.6080722889221,73.4222205581656,50.8929520609875,78.1373407861002
