"Date","forecast_Sing_response","forecast_Sing_response_low_80","forecast_Sing_response_high_80","forecast_Sing_response_low_95","forecast_Sing_response_high_95"
2021-06-01,73.1942998877904,71.740022747572,74.6485770280088,70.97017493254,75.4184248430408
2021-06-02,73.156874505723,71.1066813857263,75.2070676257196,70.0213747064327,76.2923743050133
2021-06-03,73.1181546594409,70.615288415759,75.6210209031228,69.290351059784,76.9459582590978
2021-06-04,73.0784184181465,70.1978822904898,75.9589545458033,68.6730185745792,77.4838182617139
2021-06-05,73.0378424612144,69.828120120501,76.2475648019278,68.1289957496905,77.9466891727382
2021-06-06,72.9965365726436,69.4924640203418,76.5006091249454,67.6375200598681,78.3555530854191
2021-06-07,72.954566787342,69.1828435758956,76.7262899987884,67.1862139150585,78.7229196596255
2021-06-08,72.9119708971334,68.8939757006774,76.9299660935893,66.7669775259443,79.0569642683225
2021-06-09,72.8687688143109,68.6221706374844,77.1153669911373,66.3741573549145,79.3633802737073
2021-06-10,72.8249694753207,68.3647262342362,77.2852127164053,66.0036160863145,79.6463228643269
2021-06-11,72.780575417913,68.1195907113511,77.4415601244748,65.6522144506576,79.9089363851684
2021-06-12,72.7355857950794,67.8851612184013,77.5860103717574,65.3175015481322,80.1536700420266
2021-06-13,72.6899983398135,67.6601566551599,77.7198400244671,64.9975193050975,80.3824773745295
2021-06-14,72.6438106267903,67.4435337051492,77.8440875484314,64.6906733905839,80.5969478629967
2021-06-15,72.5970208639317,67.2344293150639,77.9596124127995,64.3956448271327,80.7983969007308
2021-06-16,72.5496283706193,67.0321200527199,78.0671366885188,64.111327580992,80.9879291602467
2021-06-17,72.5016338479782,66.8359926262222,78.1672750697342,63.8367833319957,81.1664843639607
2021-06-18,72.4530395120843,66.6455220110282,78.2605570131404,63.5712079512771,81.3348710728916
2021-06-19,72.4038491376646,66.4602549005986,78.3474433747306,63.3139061680902,81.493792107239
2021-06-20,72.3540680441806,66.2797969683381,78.4283391200231,63.0642720959969,81.6438639923642
2021-06-21,72.3037030456312,66.1038029134861,78.5036031777764,62.8217740359423,81.7856320553201
2021-06-22,72.2527623783097,65.931968576991,78.5735561796284,62.5859424567686,81.9195822998508
2021-06-23,72.2012556159737,65.7640246210661,78.6384866108813,62.3563603738363,82.0461508581111
2021-06-24,72.1491935786764,65.5997314068383,78.6986557505145,62.1326555633254,82.1657315940275
2021-06-25,72.0965882393441,65.4388748017931,78.7543016768951,61.9144941997312,82.278682278957
2021-06-26,72.0434526307502,65.2812627172348,78.8056425442655,61.7015756096114,82.385329651889
2021-06-27,71.9898007545576,65.1267222249994,78.8528792841158,61.493627910129,82.4859735989862
2021-06-28,71.9356474934607,64.9750971382775,78.8961978486439,61.2904043557496,82.5808906311718
2021-06-29,71.8810085270253,64.8262459676322,78.9357710864184,61.091680256792,82.6703367972586
2021-06-30,71.8259002515423,64.6800401828451,78.9717603202395,60.897250363578,82.7545501395065
2021-07-01,71.7703397040229,64.5363627259717,79.0043166820741,60.7069266325816,82.8337527754642
2021-07-02,71.7143444903418,64.3951067322198,79.0335822484639,60.5205363082194,82.9081526724642
2021-07-03,71.6579327174592,64.2561744239097,79.0596910110087,60.3379202671893,82.977945167729
2021-07-04,71.6011229296027,64.1194761494878,79.0827697097177,60.1589315825508,83.0433142766547
2021-07-05,71.5439340482636,63.9849295448196,79.1029385517077,59.9834342727976,83.1044338237296
2021-07-06,71.4863853158434,63.8524587981317,79.1203118335551,59.8113022075161,83.1614684241707
2021-07-07,71.428496242784,63.7219940032758,79.1349984822923,59.642418146274,83.2145743392941
2021-07-08,71.3702865580108,63.5934705886171,79.1471025274045,59.4766728914158,83.2639002246058
2021-07-09,71.3117761625195,63.4668288109812,79.1567235140578,59.31396453869,83.309587786349
2021-07-10,71.2529850859439,63.3420133058138,79.1639568660741,59.15419781227,83.3517723596178
2021-07-11,71.1939334459472,63.2189726861142,79.1688942057802,58.9972834728729,83.3905834190215
2021-07-12,71.1346414102854,63.0976591838534,79.1716236367173,58.8431377894371,83.4261450311336
2021-07-13,71.0751291613952,62.978028328535,79.1722299942554,58.6916820662709,83.4585762565195
2021-07-14,71.015416863374,62.8600386583497,79.1707950683984,58.5428422187806,83.4879915079675
2021-07-15,70.9555246312168,62.7436514600232,79.1673978024104,58.3965483918873,83.5145008705463
2021-07-16,70.8954725021865,62.6288305340025,79.1621144703705,58.2527346160659,83.5382103883072
2021-07-17,70.8352804092037,62.5155419820946,79.1550188363128,58.1113384966532,83.5592223217543
2021-07-18,70.7749681561387,62.4037540150466,79.1461822972308,57.9723009326465,83.5776353796308
2021-07-19,70.7145553949047,62.2934367778932,79.1356740119161,57.8355658617225,83.5935449280869
2021-07-20,70.6540616042508,62.1845621911737,79.1235610173278,57.7010800286246,83.6070431798769
2021-07-21,70.5935060701596,62.0771038063555,79.1099083339637,57.5687927744303,83.6182193658889
2021-07-22,70.5329078677625,61.9710366740097,79.0947790615152,57.4386558445165,83.6271598910084
2021-07-23,70.4722858446823,61.8663372234538,79.0782344659107,57.3106232133062,83.6339484760584
2021-07-24,70.4116586057324,61.7629831527339,79.0603340587308,57.1846509241108,83.6386662873539
2021-07-25,70.3510444988882,61.6609533279419,79.0411356698346,57.0606969425756,83.6413920552009
2021-07-26,70.2904616024637,61.5602276909799,79.0206955139474,56.9387210224059,83.6422021825214
2021-07-27,70.229927713423,61.4607871749826,78.9990682518635,56.8186845822037,83.6411708446424
2021-07-28,70.1694603367663,61.3626136266928,78.9763070468398,56.7005505923707,83.6383700811619
