"Date","forecast_UK_covid","forecast_UK_economic","forecast_UK_health","forecast_UK_response","forecast_UK_stringency"
2021-06-01,3383.53310537946,99.6977841722265,64.2093344225985,68.6400424576322,62.4810385522508
2021-06-02,3488.9458382227,99.4076813996335,64.0826508398878,68.4937177703607,62.4607914041069
2021-06-03,3607.61427796034,99.1283744799272,63.9682856387,68.359420179821,62.4396307010865
2021-06-04,3737.25425158464,98.8587148480935,63.8647739310833,68.2357370591352,62.4178657304313
2021-06-05,3875.87856845686,98.5977012008949,63.7708252863867,68.1214252375408,62.3957518503369
2021-06-06,4021.7596343827,98.3444608184269,63.6853024812184,68.015390273665,62.3734982410979
2021-06-07,4173.39676734256,98.0982332426208,63.6072028886657,67.9166683073189,62.351274629174
2021-06-08,4329.48762271198,97.858356015478,63.5356421758441,67.8244101663025,62.3292171160195
2021-06-09,4488.90321046,97.6242522172993,63.4698400204917,67.7378674454363,62.3074332267921
2021-06-10,4650.6660520024,97.3954195779268,63.4091075937145,67.6563803106136,62.2860062794478
2021-06-11,4813.93108143758,97.171420962641,63.3528365878199,67.5793668117938,62.2649991619514
2021-06-12,4977.96894570858,96.951876059372,63.3004895959833,67.5063135160409,62.2444575941775
2021-06-13,5142.15140176492,96.7364541157408,63.251591674788,67.4367672954676,62.2244129413367
2021-06-14,5305.93854682603,96.5248675935453,63.2057229419139,67.3703281257093,62.2048846372541
2021-06-15,5468.86765114733,96.3168666250091,63.1625120798342,67.3066427687159,62.1858822683818
2021-06-16,5630.54339169325,96.1122341696863,63.1216306325831,67.2453992294987,62.1674073629489
2021-06-17,5790.62931056903,95.9107817836783,63.0827879968605,67.1863218903475,62.1494549239645
2021-06-18,5948.84034421076,95.7123459239444,63.0457270211181,67.1291672381403,62.1320147398545
2021-06-19,6104.93628875593,95.5167847202362,63.0102201371168,67.0737201109694,62.1150725021744
2021-06-20,6258.71608397653,95.3239751556871,62.9760659579218,67.0197903995683,62.0986107560653
2021-06-21,6410.01281292155,95.1338106045238,62.9430862845593,66.967210147102,62.0826097058337
2021-06-22,6558.68932743044,94.9461986818669,62.9111234708231,66.9158309979781,62.0670478951396
2021-06-23,6704.63442092161,94.7610593662605,62.8800381020181,66.8655219524996,62.0519027787812
2021-06-24,6847.75947982159,94.5783233605411,62.8497069489863,66.8161673896078,62.0371512008538
2021-06-25,6987.99555358066,94.3979306609834,62.8200211635712,66.7676653246681,62.0227697921578
2021-06-26,7125.29079080492,94.2198293084561,62.7908846859154,66.7199258733963,62.0087352980557
2021-06-27,7259.60819564057,94.0439742986295,62.7622128376844,66.6728698966321,61.9950248465136
2021-06-28,7390.92366428084,93.8703266311716,62.7339310785246,66.6264278038162,61.981616164804
2021-06-29,7519.22426657408,93.6988524804016,62.7059739059187,66.5805384958083,61.9684877522155
2021-06-30,7644.50674203102,93.5295224720723,62.6782838810321,66.5351484300674,61.9556190151716
