"Date","forecast_UK_economic","forecast_UK_economic_low_80","forecast_UK_economic_high_80","forecast_UK_economic_low_95","forecast_UK_economic_high_95"
2021-06-01,99.6977841722265,96.7449349582268,102.650633386226,95.1817910067409,104.213777337712
2021-06-02,99.4076813996335,95.2392438465829,103.576118952684,93.0326062989202,105.782756500347
2021-06-03,99.1283744799272,94.0315512189768,104.225197740878,91.3334559642733,106.923292995581
2021-06-04,98.8587148480935,92.9823635792128,104.735066116974,89.8716111238528,107.845818572334
2021-06-05,98.5977012008949,92.0369290236859,105.158473378104,88.5638660249864,108.631536376803
2021-06-06,98.3444608184269,91.1667331101996,105.522188526654,87.3670735815876,109.321848055266
2021-06-07,98.0982332426208,90.3545560559894,105.841910429252,86.2553009707132,109.941165514528
2021-06-08,97.858356015478,89.5889901136758,106.12772191728,85.2114522323842,110.505259798572
2021-06-09,97.6242522172993,88.8619831565517,106.386521278047,84.2235181043361,111.024986330262
2021-06-10,97.3954195779268,88.1675843497126,106.623254806141,83.2826634557149,111.508175700139
2021-06-11,97.171420962641,87.5012408292853,106.841601095997,82.3821566872409,111.960685238041
2021-06-12,96.951876059372,86.8593744192512,107.044377699493,81.5167267759781,112.387025342766
2021-06-13,96.7364541157408,86.2391123107702,107.233795920711,80.6821552296824,112.790753001799
2021-06-14,96.5248675935453,85.6381078203077,107.411627366783,79.8750053191252,113.174729867966
2021-06-15,96.3168666250091,85.0544165865561,107.579316663462,79.0924356723076,113.541297577711
2021-06-16,96.1122341696863,84.4864083546148,107.738059984758,78.3320679237865,113.892400415586
2021-06-17,95.9107817836783,83.9327024333807,107.888861133976,77.5918902449131,114.229673322443
2021-06-18,95.7123459239444,83.3921193899592,108.03257245793,76.870185423189,114.5545064247
2021-06-19,95.5167847202362,82.8636441803689,108.169925260103,76.1654761843797,114.868093256093
2021-06-20,95.3239751556871,82.3463975246344,108.30155278674,75.4764829070027,115.171467404371
2021-06-21,95.1338106045238,81.8396133482928,108.428007860755,74.8020904255458,115.465530783502
2021-06-22,94.9461986818669,81.3426207695907,108.549776594143,74.1413216205092,115.751075743225
2021-06-23,94.7610593662605,80.8548295484709,108.66728918405,73.493316158423,116.028802574098
2021-06-24,94.5783233605411,80.3757182103687,108.780928510713,72.8573131964658,116.299333524616
2021-06-25,94.3979306609834,79.9048242637859,108.891037058181,72.2326371789822,116.563224142985
2021-06-26,94.2198293084561,79.441736076102,108.99792254081,71.618686073708,116.820972543204
2021-06-27,94.0439742986295,78.9860860766173,109.101862520642,71.0149215536218,117.073027043637
2021-06-28,93.8703266311716,78.5375450320721,109.203108230271,70.4208607454327,117.31979251691
2021-06-29,93.6988524804016,78.0958171963178,109.301887764485,69.8360692506716,117.561635710132
2021-06-30,93.5295224720723,77.6606361780948,109.39840876605,69.2601552088518,117.798889735293
2021-07-01,93.3623110528929,77.2317614029727,109.492860702813,68.6927642202271,118.031857885559
2021-07-02,93.1971959410869,76.808975070109,109.585416812065,68.1335749824135,118.26081689976
2021-07-03,93.0341576477555,76.3920795235632,109.676235771948,67.5822955235359,118.486019771975
2021-07-04,92.8731790601089,75.9808949728303,109.765463147387,67.038659936709,118.707698183509
2021-07-05,92.7142450787473,75.5752575090386,109.853232648456,66.5024255380846,118.92606461941
2021-07-06,92.5573423021702,75.1750173726385,109.939667231702,65.9733703845227,119.141314219818
2021-07-07,92.4024587525407,74.7800374359329,110.024880069148,65.4512910979917,119.35362640709
2021-07-08,92.2495836374911,74.3901918698681,110.108975405114,64.9360009526952,119.563166322287
2021-07-09,92.0987071434091,74.0053649694621,110.192049317356,64.4273281881458,119.770086098672
2021-07-10,91.9498202562255,73.62545011627,110.274190396181,63.9251145172631,119.974525995188
2021-07-11,91.8029146062128,73.2503488596289,110.355480352797,63.4292138034178,120.176615409008
