"Date","forecast_UK_covid","forecast_UK_covid_low_80","forecast_UK_covid_high_80","forecast_UK_covid_low_95","forecast_UK_covid_high_95"
2021-06-29,7519.22426657408,-5507.48540066056,20545.9339338087,-12403.4089471661,27441.8574803143
2021-06-30,7644.50674203102,-5502.9405078489,20791.9539919109,-12462.7786698161,27751.7921538782
2021-07-01,7766.77618346429,-5495.52260176859,21029.0749686972,-12516.1594939773,28049.7118609059
2021-07-02,7886.04488480683,-5485.53704767331,21257.626817287,-12564.0249435191,28336.1147131328
2021-07-03,8002.33133262326,-5473.26171513558,21477.9243803821,-12606.8097694766,28611.4724347231
2021-07-04,8115.65932339551,-5458.94984239546,21690.2684891865,-12644.9138634129,28876.2325102039
2021-07-05,8226.05719089465,-5442.83254072036,21894.9469225097,-12678.7056785027,29130.820060292
2021-07-06,8333.55712995646,-5425.12099128807,22092.235251201,-12708.5252314029,29375.6394913158
2021-07-07,8438.19460466268,-5406.00837843329,22282.3975877586,-12734.6867456085,29611.0759549338
2021-07-08,8540.00783043512,-5385.67159604334,22465.6872569136,-12757.4809869965,29837.4966478668
2021-07-09,8639.03732087043,-5364.27275807236,22642.3473998132,-12777.1773340672,30055.2519758081
2021-07-10,8735.32549132012,-5341.96053937252,22812.6115220128,-12794.0256187162,30264.6766013564
2021-07-11,8828.91631213916,-5318.87136916166,22976.70399344,-12808.2577679264,30466.0903922047
2021-07-12,8919.85500551068,-5295.13049606688,23134.8405070882,-12820.0892721208,30659.7992831422
2021-07-13,9008.18778043523,-5270.85294101691,23287.2285018874,-12829.7205021972,30846.0960630677
2021-07-14,9093.9616012008,-5246.14435190108,23434.0675543027,-12837.3378940515,31025.2610964531
2021-07-15,9177.22398520198,-5221.10177199462,23575.5497423986,-12843.115016755,31197.5629871589
2021-07-16,9258.02282650512,-5195.81433249547,23711.8599855057,-12847.2135382988,31363.259191309
2021-07-17,9336.40624199651,-5170.36387812747,23843.1763621205,-12849.7841009275,31522.5965849205
2021-07-18,9412.42243735717,-5144.82553355889,23969.6704082732,-12850.9671164526,31675.811991167
2021-07-19,9486.11959043142,-5119.26821738889,24091.5073982517,-12850.8934905861,31823.1326714489
2021-07-20,9557.5457498746,-5093.75510956917,24208.8466093184,-12849.6852841475,31964.7767838967
2021-07-21,9626.74874720982,-5068.34407739306,24321.8415718127,-12847.4563180036,32100.9538124232
2021-07-22,9693.77612068562,-5043.0880645098,24430.640305881,-12844.3127277073,32231.8649690785
2021-07-23,9758.6750494636,-5018.03544693474,24535.3855458619,-12840.3534731291,32357.7035720563
2021-07-24,9821.49229693763,-4993.23035944162,24636.2149533169,-12835.670807626,32478.6554015013
2021-07-25,9882.27416203521,-4968.71299541994,24733.2613194904,-12830.3507108544,32594.8990349249
2021-07-26,9941.06643756781,-4944.51988282973,24826.6527579654,-12824.4732887585,32706.6061638941
2021-07-27,9997.91437476614,-4920.68413863225,24916.5128881645,-12818.1131439143,32813.9418934466
2021-07-28,10052.8626532657,-4897.23570376203,25002.9610102934,-12811.3397190001,32917.0650255315
2021-07-29,10105.9553558912,-4874.20156048905,25086.1122722714,-12804.2176158744,33016.1283276568
2021-07-30,10157.2359476489,-4851.60593381564,25166.0778291134,-12796.8068924658,33111.2787877636
2021-07-31,10206.7472584493,-4829.47047834188,25242.9649952405,-12789.1633394122,33202.6578563107
2021-08-01,10254.5314691031,-4807.81445190075,25316.8773901069,-12781.3387381998,33290.401676406
2021-08-02,10300.6301001809,-4786.65487713802,25387.9150774998,-12773.3811023813,33374.6413027431
2021-08-03,10345.0840034364,-4766.00669202421,25456.174698897,-12765.3349032232,33455.5029100959
2021-08-04,10387.9333554434,-4745.88289026592,25521.7496011528,-12757.2412810782,33533.1079919651
2021-08-05,10429.2176532245,-4726.29465240206,25584.7299588511,-12749.1382435659,33607.573550015
2021-08-06,10468.975711584,-4707.25146837722,25645.2028915452,-12741.0608516203,33679.0122747883
2021-08-07,10507.2456620002,-4688.76125219937,25703.2525761997,-12733.0413942573,33747.5327182577
2021-08-08,10544.0649528317,-4670.83044934739,25758.9603550108,-12725.10955295,33813.2394586135
2021-08-09,10579.4703507317,-4653.4641374164,25812.4048388797,-12717.2925563004,33876.2332577637
2021-08-10,10613.4979430738,-4636.66612054752,25863.6620066952,-12709.6153257419,33936.6112118896
2021-08-11,10646.1831413114,-4620.43901804199,25912.8053006648,-12702.1006128411,33994.466895464
2021-08-12,10677.5606851295,-4604.78434759248,25959.9057178514,-12694.7691287872,34049.8904990461
2021-08-13,10707.6646472846,-4589.70260351002,26005.0318980791,-12687.6396665912,34102.9689611603
2021-08-14,10736.5284390732,-4575.19333025353,26048.2502083999,-12680.7292164354,34153.7860945818
2021-08-15,10764.1848163353,-4561.25519158675,26089.6248242574,-12674.0530746168,34202.4227072875
2021-08-16,10790.6658859012,-4547.88603566875,26129.2178074712,-12667.6249465082,34248.9567183106
2021-08-17,10816.0031124608,-4535.08295629498,26167.0891812165,-12661.4570438537,34293.4632687753
2021-08-18,10840.2273257782,-4522.84235055244,26203.2970021089,-12655.560176765,34336.0148283215
2021-08-19,10863.3687281966,-4511.15997311385,26237.897429507,-12649.9438407288,34376.6812971219
2021-08-20,10885.4569024102,-4500.03098735325,26270.9447921737,-12644.6162988964,34415.5301037169
2021-08-21,10906.52081944,-4489.45001349804,26302.4916523779,-12639.5846599477,34452.6262988276
2021-08-22,10926.5888468021,-4479.4111739646,26332.5888675689,-12634.8549517504,34488.0326453547
2021-08-23,10945.6887568224,-4469.90813605963,26361.2856497044,-12630.4321910669,34521.8097047116
2021-08-24,10963.8477350686,-4460.93415219351,26388.6296223307,-12626.3204495196,34554.0159196568
2021-08-25,10981.0923888928,-4452.48209773315,26414.6668755187,-12622.5229160041,34584.7076937896
2021-08-26,10997.4487560377,-4444.54450664629,26439.4420187217,-12619.0419557576,34613.939467833
2021-08-27,11012.9423133125,-4437.11360503642,26462.9982316615,-12615.8791662395,34641.7637928646
2021-08-28,11027.5979853,-4430.18134270191,26485.3773133019,-12613.035430006,34668.231400606
2021-08-29,11041.4401530757,-4423.73942283095,26506.6197289824,-12610.5109647403,34693.3912708918
2021-08-30,11054.4926629489,-4417.77932990891,26526.7646558068,-12608.30537056,34717.2906964579
2021-08-31,11066.7788352062,-4412.29235593915,26545.8500263516,-12606.4176747477,34739.9753451602
2021-09-01,11078.3214728206,-4407.26962509282,26563.9125707341,-12604.8463740592,34761.4893197005
2021-09-02,11089.1428701379,-4402.70211684913,26580.9878571248,-12603.5894747123,34781.875214988
2021-09-03,11099.2648215367,-4398.58068769956,26597.1103307729,-12602.6445301645,34801.1741732379
2021-09-04,11108.7086300285,-4394.89609151802,26612.3133515751,-12602.0086768193,34819.4259368764
2021-09-05,11117.4951158267,-4391.63899862911,26626.6292302825,-12601.6786677248,34836.6688993783
2021-09-06,11125.6446248483,-4388.80001367262,26640.0892633692,-12601.6509043953,34852.9401540919
2021-09-07,11133.1770371378,-4386.36969233229,26652.7237666079,-12601.9214668554,34868.275541131
2021-09-08,11140.1117752384,-4384.33855695812,26664.5621074349,-12602.4861419635,34882.7096924403
2021-09-09,11146.4678124853,-4382.69711115975,26675.6327361304,-12603.3404501208,34896.2760750914
2021-09-10,11152.2636812128,-4381.43585342938,26685.9632158551,-12604.4796704504,34909.0070328761
2021-09-11,11157.5174808928,-4380.54528982437,26695.5802516099,-12605.8988645015,34920.9338262871
2021-09-12,11162.2468861758,-4380.01594578288,26704.5097181345,-12607.5928985772,34932.0866709288
2021-09-13,11166.46915484,-4379.83837711244,26712.7766867924,-12609.5564647472,34942.4947744272
2021-09-14,11170.2011356572,-4380.00318018183,26720.4054514962,-12611.7841005998,34952.1863719142
2021-09-15,11173.459276173,-4380.50100136028,26727.4195537062,-12614.2702077959,34961.1887601419
2021-09-16,11176.2596303728,-4381.32254576957,26733.8418065152,-12617.0090695125,34969.5283302581
2021-09-17,11178.6178662645,-4382.45858535472,26739.6943178837,-12619.9948667996,34977.2305993286
2021-09-18,11180.549273352,-4383.89996633321,26744.9985130372,-12623.2216939296,34984.3202406335
2021-09-19,11182.0687700147,-4385.63761604162,26749.775156071,-12626.683572774,34990.8211128034
2021-09-20,11183.1909107885,-4387.66254921538,26754.0443707924,-12630.3744662626,34996.7562878396
2021-09-21,11183.9298935436,-4389.96587373645,26757.8256608236,-12634.2882909726,35002.1480780598
2021-09-22,11184.2995665575,-4392.53879587956,26761.1379289945,-12638.4189288974,35007.0180620123
2021-09-23,11184.3134354903,-4395.37262507856,26763.9994960591,-12642.7602384273,35011.3871094079
2021-09-24,11183.9846702499,-4398.4587782504,26766.4281187503,-12647.3060645979,35015.2754050978
2021-09-25,11183.3261117527,-4401.78878369762,26768.441007203,-12652.0502486363,35018.7024721418
2021-09-26,11182.3502785959,-4405.3542845966,26770.0548417884,-12656.986636829,35021.6871940208
2021-09-27,11181.0693736143,-4409.14704212309,26771.2857893516,-12662.1090887719,35024.2478360004
2021-09-28,11179.4952903324,-4413.15893822479,26772.1495188896,-12667.4114850272,35026.402065692
2021-09-29,11177.6396193202,-4417.38197805564,26772.661216696,-12672.88773421,35028.1669728504
2021-09-30,11175.5136544526,-4421.8082920904,26772.8356009956,-12678.5317795363,35029.5590884415
2021-10-01,11173.1283990435,-4426.43013796922,26772.6869360562,-12684.3376048909,35030.5944029779
2021-10-02,11170.4945719075,-4431.23990203674,26772.2290458518,-12690.2992403907,35031.2883842057
2021-10-03,11167.622613304,-4436.23010063994,26771.4753272479,-12696.4107675154,35031.6559941234
2021-10-04,11164.5226907842,-4441.39338117938,26770.4387627478,-12702.666323811,35031.7117053794
2021-10-05,11161.2047049431,-4446.72252292963,26769.1319328159,-12709.0601071894,35031.4695170757
2021-10-06,11157.6782950661,-4452.21043765384,26767.567027786,-12715.5863798572,35030.9429699894
2021-10-07,11153.952844681,-4457.850170016,26765.755859378,-12722.2394718857,35030.1451612477
2021-10-08,11150.0374870187,-4463.63489780334,26763.7098718407,-12729.0137844409,35029.0887584782
2021-10-09,11145.9411103668,-4469.55793198551,26761.4401527191,-12735.9037927091,35027.7860134426
2021-10-10,11141.6723633433,-4475.61271659915,26758.9574432857,-12742.9040485113,35026.2487751979
2021-10-11,11137.2396600641,-4481.79282849363,26756.2721486219,-12750.0091826504,35024.4885027787
2021-10-12,11132.6511852133,-4488.0919769431,26753.3943473697,-12757.2139070012,35022.5162774279
2021-10-13,11127.9148990438,-4494.50400310598,26750.3338011935,-12764.513016332,35020.3428144195
2021-10-14,11123.0385422633,-4501.02287939,26747.0999639166,-12771.9013899188,35017.9784744453
2021-10-15,11118.0296408458,-4507.64270869091,26743.7019903826,-12779.373992929,35015.4332746206
2021-10-16,11112.8955107458,-4514.35772353827,26740.1487450299,-12786.9258776101,35012.7168991018
2021-10-17,11107.643262528,-4521.16228514426,26736.4488102002,-12794.5521842859,35009.8387093419
2021-10-18,11102.2798059133,-4528.05088236372,26732.6104941904,-12802.2481421726,35006.8077539992
2021-10-19,11096.8118542348,-4535.01813058069,26728.6418390503,-12810.0090700344,35003.632778504
2021-10-20,11091.2459288128,-4542.05877051869,26724.5506281444,-12817.8303766807,35000.3222343064
2021-10-21,11085.5883632464,-4549.16766698703,26720.3443934799,-12825.7075613197,34996.8842878126
2021-10-22,11079.845307625,-4556.33980756513,26716.0304228151,-12833.6362137764,34993.3268290264
2021-10-23,11074.0227326536,-4563.57030123867,26711.6157665459,-12841.6120145903,34989.6574798975
2021-10-24,11068.1264337069,-4570.85437697988,26707.1072443936,-12849.63073499,34985.8836024037
2021-10-25,11062.1620348019,-4578.18738228638,26702.5114518902,-12857.6882367619,34982.0123063658
2021-10-26,11056.1349924831,-4585.56478169314,26697.8347666593,-12865.7804720311,34978.0504569972
2021-10-27,11050.0505996468,-4592.982155234,26693.0833545275,-12873.9034829325,34974.0046822261
2021-10-28,11043.9139892891,-4600.43519687573,26688.2631754539,-12882.0534012009,34969.8813797791
2021-10-29,11037.7301381675,-4607.91971293878,26683.3799892738,-12890.226447693,34965.686724028
2021-10-30,11031.5038704059,-4615.4316204795,26678.4393612912,-12898.4189318222,34961.4266726339
2021-10-31,11025.2398610174,-4622.96694566464,26673.4466676995,-12906.6272509376,34957.1069729725
2021-11-01,11018.9426393583,-4630.52182212966,26668.4071008462,-12914.8478896412,34952.7331683578
2021-11-02,11012.6165925226,-4638.09248931374,26663.3256743589,-12923.0774190389,34948.310604084
2021-11-03,11006.2659686565,-4645.67529079817,26658.2072281112,-12931.3124959535,34943.8444332666
2021-11-04,10999.894880212,-4653.26667263192,26653.056433056,-12939.5498620865,34939.3396225106
2021-11-05,10993.507307137,-4660.86318164967,26647.8777959236,-12947.7863431346,34934.8009574085
2021-11-06,10987.1070999924,-4668.46146379657,26642.6756637815,-12956.0188478772,34930.2330478621
