"Date","forecast_US_covid","forecast_US_covid_low_80","forecast_US_covid_high_80","forecast_US_covid_low_95","forecast_US_covid_high_95"
2021-11-03,81151.5629650961,1759.55585019062,160543.570080002,-40268.0340211845,202571.159951377
2021-11-04,81247.2557854583,1854.13410214725,160640.377468769,-40174.0457861016,202668.557357018
2021-11-05,81340.1992343891,1945.99077096659,160734.407697812,-40082.7644239216,202763.1628927
2021-11-06,81430.4641514423,2035.19243547229,160825.735867412,-39994.1256113152,202855.0539142
2021-11-07,81518.120194119,2121.8047943124,160914.435593926,-39908.0657453246,202944.306133563
2021-11-08,81603.2358335895,2205.89264745777,161000.579019721,-39824.5219693945,203030.993636574
2021-11-09,81685.8783517016,2287.51987937845,161084.236824025,-39743.4321975181,203115.188900921
2021-11-10,81766.1138391855,2366.74944381493,161165.478234556,-39664.7351365768,203196.962814948
2021-11-11,81844.0071950326,2443.64335012539,161244.37103994,-39588.3703068919,203276.384696957
2021-11-12,81919.6221269567,2518.2626511194,161320.981602794,-39514.2780610753,203353.522314989
2021-11-13,81993.021152936,2590.6674323787,161395.374873493,-39442.3996011781,203428.44190705
2021-11-14,82064.2656037411,2660.91680296998,161467.614404512,-39372.6769942326,203501.208201715
2021-11-15,82133.4156264182,2729.06888751838,161537.762365318,-39305.0531862187,203571.884439055
2021-11-16,82200.5301886776,2795.18081958854,161605.879557767,-39239.47201451,203640.532391865
2021-11-17,82265.6670841428,2859.30873632694,161672.025431959,-39175.8782188457,203707.212387131
2021-11-18,82328.8829384066,2921.50777430688,161736.258102506,-39114.217450892,203771.983327705
2021-11-19,82390.2332158696,2981.83206654816,161798.634365191,-39054.4362824195,203834.902714159
