"Date","covid_Sing","Point Forecast","Lo 80","Hi 80","Lo 95","Hi 95"
2021-01-22,15,56.7328313995039,-66.4004763711255,179.866139170133,-131.583312106717,245.048974905725
2021-01-23,10,69.1969868923445,-79.224879137246,217.618852921935,-157.794668970216,296.188642754905
2021-01-24,48,77.4887816149497,-82.2413816069667,237.218944836866,-166.797422371405,321.774985601304
2021-01-25,44,83.0007892591344,-83.3339301503351,249.335508668604,-171.38621176848,337.387790286749
2021-01-26,14,86.6582008812494,-84.5787837622966,257.895185524795,-175.226167837044,348.542569599543
2021-01-27,25,89.0758006073713,-86.4245563321049,264.576157546848,-179.328833371695,357.480434586437
2021-01-28,34,90.6622193006156,-88.8263704202144,270.150809021446,-183.841890363686,365.166328964918
2021-01-29,24,91.6891730993132,-91.6212299945922,274.999576193219,-188.659895728749,372.038241927375
2021-01-30,58,92.3374468419079,-94.6505106516979,279.325404335514,-193.635956088963,378.310849772778
2021-01-31,29,92.7274327688021,-97.7918988912449,283.246764428849,-198.646740890493,384.101606428097
2021-02-01,29,92.9394117528332,-100.960414955602,286.839238461269,-203.604782936354,389.483606442021
2021-02-02,19,93.0270221574912,-104.100811703473,290.154856018455,-208.453983449722,394.508027764705
2021-02-03,18,93.0262043699259,-107.179190922932,293.231599662783,-213.161525280933,399.213934020785
2021-02-04,22,92.9611406054631,-110.176143004985,296.098424215911,-217.710525286174,403.632806497101
2021-02-05,25,92.8481992129312,-113.081728064971,298.778126490834,-222.094446604151,407.790845030014
2021-02-06,26,92.6985537513637,-115.892006971546,301.289114474274,-226.313179778207,411.710287280935
2021-02-07,24,92.5199219910286,-118.606723661478,303.646567643535,-230.370418734213,415.41026271627
2021-02-08,22,92.3177204786275,-121.22779251432,305.863233471575,-234.271958609663,418.907399566918
2021-02-09,11,92.0958310111529,-123.75832981715,307.949991839455,-238.024620253565,422.216282275871
2021-02-10,15,91.8571094128389,-126.202045137304,309.916263962981,-241.635588741614,425.349807567292
2021-02-11,12,91.6037232127727,-128.562867183726,311.770313609271,-245.11201993623,428.319466361776
2021-02-12,18,91.3373757315281,-130.84472056537,313.519472028426,-248.460817692297,431.135569155353
2021-02-13,9,91.0594547661531,-133.05139850456,315.170308036866,-251.688517898121,433.807427430427
2021-02-14,14,90.7711312338563,-135.186495751972,316.728758219685,-254.801238096566,436.343500564279
2021-02-15,9,90.4734246129312,-137.25337862825,318.200227854113,-257.80466630999,438.751515535853
2021-02-16,1,90.1672463615168,-139.25517741504,319.589670138074,-260.70407238784,441.038565110874
2021-02-17,11,89.8534287356423,-141.194791715662,320.901649186946,-263.504331460443,443.211188931727
2021-02-18,11,89.5327439344564,-143.07490289348,322.140390762393,-266.209953096724,445.275440965636
