"Date","forecast_Sing_covid","forecast_Sing_economic","forecast_Sing_health","forecast_Sing_response","forecast_Sing_stringency"
2021-06-01,52.6512315283238,100.367641115174,69.3071680632346,73.1942998877904,58.3378151608512
2021-06-02,73.6275065938683,100.707208582907,69.2163321135752,73.156874505723,58.3478955470053
2021-06-03,88.6773609183096,101.026840400914,69.12682970744,73.1181546594409,58.3577103676128
2021-06-04,99.6568902841896,101.331944564164,69.0382116533211,73.0784184181465,58.3656375794082
2021-06-05,107.820704960773,101.626095693785,68.950173299479,73.0378424612144,58.3706639266461
2021-06-06,114.01796655314,101.911638801263,68.8625081739693,72.9965365726436,58.372183016118
2021-06-07,118.824475303382,102.19009575784,68.7750766880689,72.954566787342,58.3698594322631
2021-06-08,122.631671991842,102.462438856529,68.687784992099,72.9119708971334,58.3635373368882
2021-06-09,125.706611289251,102.729274845629,68.6005706747444,72.8687688143109,58.3531790314002
2021-06-10,128.232377126389,102.990968658597,68.5133930763663,72.8249694753207,58.3388236980259
2021-06-11,130.335320721605,103.247726529164,68.426226714034,72.780575417913,58.3205597290028
2021-06-12,132.10342013083,103.499651755947,68.3390568059737,72.7355857950794,58.2985062035746
2021-06-13,133.598657625226,103.7467820524,68.251876213251,72.6899983398135,58.2728005217041
2021-06-14,134.865366251213,103.989114501778,68.1646833389184,72.6438106267903,58.2435901796884
2021-06-15,135.935860286764,104.226622172128,68.0774806747243,72.5970208639317,58.2110273305691
2021-06-16,136.834235380325,104.459265122709,67.9902737864484,72.5496283706193,58.1752652153444
2021-06-17,137.578935176015,104.686997641498,67.9030705969689,72.5016338479782,58.1364558495027
2021-06-18,138.184486530941,104.909772952699,67.8158808720087,72.4530395120843,58.0947485504971
2021-06-19,138.662674256013,105.127546228442,67.728715844407,72.4038491376646,58.0502890272531
2021-06-20,139.023337933689,105.340276466234,67.6415879335789,72.3540680441806,58.0032188440587
2021-06-21,139.274913821385,105.547927610042,67.554510530863,72.3037030456312,57.9536751326525
2021-06-22,139.424804732836,105.750469169181,67.4674978309167,72.2527623783097,57.9017904677255
2021-06-23,139.479633760357,105.947876505872,67.3805646956994,72.2012556159737,57.8476928489246
2021-06-24,139.445419488835,106.140130906195,67.293726541887,72.1491935786764,57.7915057512221
2021-06-25,139.327698081682,106.327219511371,67.2069992454623,72.0965882393441,57.7333482181536
2021-06-26,139.131609352727,106.509135160904,67.1203990591942,72.0434526307502,57.6733349809131
2021-06-27,138.861958365269,106.685876181948,67.0339425400358,71.9898007545576,57.6115765920278
2021-06-28,138.5232603466,106.857446147785,66.9476464843765,71.9356474934607,57.5481795661689
2021-06-29,138.119774176011,107.023853620529,66.8615278696857,71.8810085270253,57.4832465232328
2021-06-30,137.655527999156,107.185111887988,66.7756038015029,71.8259002515423,57.4168763305609
2021-07-01,137.134339372442,107.341238701124,66.6898914650107,71.7703397040229,57.3491642423216
2021-07-02,136.559831566156,107.4922560162,66.604408080618,71.7143444903418,57.280202034848
2021-07-03,135.935447132237,107.638189744159,66.5191708631185,71.6579327174592,57.2100781372373
2021-07-04,135.264459490697,107.779069508743,66.4341969840776,71.6011229296027,57.1388777568595
2021-07-05,134.549983049378,107.914928414139,66.3495035371699,71.5439340482636,57.0666829996422
2021-07-06,133.794982212031,108.04580282253,66.2651075062334,71.4863853158434,56.9935729851421
2021-07-07,133.00227952072,108.171732141596,66.1810257358427,71.428496242784,56.9196239565042
2021-07-08,132.174563104577,108.292758621859,66.0972749042254,71.3702865580108,56.8449093854657
2021-07-09,131.314393557162,108.408927163598,66.0138714983695,71.3117761625195,56.7695000725948
2021-07-10,130.424210330472,108.520285133043,65.9308317911797,71.2529850859439,56.6934642429699
2021-07-11,129.506337710643,108.626882187483,65.8481718205564,71.1939334459472,56.6168676375138
2021-07-12,128.562990424465,108.728770108914,65.7659073702795,71.1346414102854,56.5397736001938
2021-07-13,127.596278913587,108.826002645836,65.6840539525857,71.0751291613952,56.4622431613039
2021-07-14,126.608214307936,108.918635362853,65.6026267923407,71.015416863374,56.3843351170256
2021-07-15,125.600713121837,109.006725497669,65.5216408127076,70.9555246312168,56.3061061054676
2021-07-16,124.575601693975,109.090331825158,65.4411106222235,70.8954725021865,56.2276106793719
2021-07-17,123.534620389293,109.169514528144,65.3610505032003,70.8352804092037,56.1489013756605
2021-07-18,122.479427577811,109.244335074575,65.2814744013686,70.7749681561387,56.070028781997
2021-07-19,121.411603404975,109.314856100779,65.2023959166916,70.7145553949047,55.9910416005188
2021-07-20,120.332653365834,109.381141300496,65.1238282952769,70.6540616042508,55.9119867088944
2021-07-21,119.244011694913,109.443255319415,65.0457844223214,70.5935060701596,55.8329092188476
2021-07-22,118.147044582356,109.501263654949,64.9682768160236,70.5329078677625,55.7538525322823
2021-07-23,117.043053225906,109.555232560972,64.8913176224058,70.4722858446823,55.6748583951413
2021-07-24,115.93327672909,109.605228957317,64.8149186109901,70.4116586057324,55.595966949108
2021-07-25,114.818894853137,109.651320343769,64.7390911712744,70.3510444988882,55.5172167812763
2021-07-26,113.701030631112,109.693574718358,64.6638463099573,70.2904616024637,55.4386449718894
2021-07-27,112.580752852173,109.73206049974,64.5891946488663,70.229927713423,55.3602871402478
2021-07-28,111.459078422956,109.766846453471,64.5151464235438,70.1694603367663,55.2821774888842
2021-07-29,110.336974612653,109.798001621994,64.4417114824471,70.1090766759242,55.2043488460935
2021-07-30,109.215361188758,109.825595258164,64.3688992867253,70.04879362411,55.126832706899
2021-07-31,108.095112448367,109.849696762135,64.2967189105315,69.9886277565672,55.0496592725425
