"Date","forecast_US_economic","forecast_US_economic_low_80","forecast_US_economic_high_80","forecast_US_economic_low_95","forecast_US_economic_high_95"
2021-06-01,49.8701263748452,46.4016900941166,53.3385626555738,44.565610836283,55.1746419134074
2021-06-02,49.7787246635331,45.0667237043589,54.4907256227072,42.5723410708644,56.9851082562018
2021-06-03,49.7241772078672,44.1776307358715,55.2707236798628,41.2414663939098,58.2068880218245
2021-06-04,49.7048953050998,43.5457206790447,55.864069931155,40.2852505821572,59.1245400280425
2021-06-05,49.7193207041568,43.0923731651341,56.3462682431796,39.5842790459607,59.8543623623529
2021-06-06,49.7659268725384,42.7740330634664,56.7578206816104,39.0727480587103,60.4591056863665
2021-06-07,49.8432200560746,42.5626628310639,57.1237772810853,38.7085686444165,60.9778714677327
2021-06-08,49.949740151586,42.4384414871344,57.4610388160376,38.4622001607993,61.4372801423727
2021-06-09,50.0840614105957,42.3864420657437,57.7816807554476,38.3115685291272,61.8565542920641
2021-06-10,50.2447929905231,42.3949129885262,58.0946729925201,38.2394375288121,62.2501484522342
2021-06-11,50.4305793682455,42.4543050881213,58.4068536483697,38.23192053924,62.6292381972511
2021-06-12,50.6401006295254,42.5566824805895,58.7235187784612,38.2775793936678,63.002621865383
2021-06-13,50.8720726465478,42.6953466348285,59.0487986582671,38.3668493490277,63.3772959440679
2021-06-14,51.1252471546888,42.8645858336657,59.3859084757119,38.4916558790946,63.758838430283
2021-06-15,51.398411738611,43.0595015703135,59.7373219069085,38.6451491781361,64.1516742990858
2021-06-16,51.6903897368706,43.2758835581784,60.1048959155628,38.8215130554099,64.5592664183313
2021-06-17,52.0000400733872,43.5101160160935,60.489964130681,39.0158217000089,64.9842584467656
2021-06-18,52.3262570233779,43.7591042435013,60.8934098032544,39.223927511202,65.4285865355537
2021-06-19,52.6679699206809,44.0202143819249,61.315725459437,39.4423691264858,65.893570714876
2021-06-20,53.024142812778,44.2912217547358,61.7570638708201,39.6682925966998,66.3799930288561
2021-06-21,53.3937740692682,44.5702648505392,62.2172832879972,39.8993812169471,66.8881669215893
2021-06-22,53.7758959490434,44.8558031674395,62.6959887306472,40.1337912840862,67.4180006140006
2021-06-23,54.1695741309542,45.1465779318514,63.192570330057,40.3700922697869,67.9690559921215
2021-06-24,54.5739072123445,45.4415752429621,63.7062391817269,40.6072107203099,68.5406037043791
2021-06-25,54.9880261794457,45.7399915348416,64.2360608240499,40.844377715718,69.1316746431735
2021-06-26,55.4110938532892,46.0412014387654,64.7809862678129,41.081080012857,69.7411076937213
2021-06-27,55.8423043144698,46.3447282069775,65.3398804219621,41.3170151169161,70.3675935120235
2021-06-28,56.2808823098172,46.6502168595526,65.9115477600818,41.552050527187,71.0097140924474
2021-06-29,56.7260826437632,46.9574101673853,66.4947551201411,41.786187328406,71.6659779591203
2021-06-30,57.1771895569603,47.2661275107381,67.0882516031826,42.0195281866333,72.3348509272874
2021-07-01,57.6335160944871,47.5762465726515,67.6907856163227,42.2522496861912,73.0147825027829
2021-07-02,58.0944034657715,47.8876877525822,68.3011191789608,42.484578831217,73.704228100326
2021-07-03,58.5592203981911,48.2004011254649,68.9180396709172,42.7167734434524,74.4016673529297
2021-07-04,59.0273624861294,48.5143557282848,69.540369243974,42.9491061220592,75.1056188501996
2021-07-05,59.4982515371232,48.8295309304437,70.1669721438027,43.1818513918616,75.8146516823848
2021-07-06,59.9713349165865,49.1459096338991,70.796760199274,43.4152756507385,76.5273941824345
2021-07-07,60.4460848924736,49.4634730514259,71.4286967335212,43.6496295305786,77.2425402543685
2021-07-08,60.9219979811198,49.782196823189,72.0617991390505,43.8851423043811,77.9588536578584
2021-07-09,61.398594295389,50.1020482500674,72.6951403407107,44.1220180000606,78.6751705907174
2021-07-10,61.8754168961558,50.4229844441902,73.3278493481214,44.3604329152407,79.390400877071
2021-07-11,62.3520311480555,50.7449512207896,73.9591110753213,44.6005342635338,80.1035280325772
2021-07-12,62.8280240803509,51.0678825791607,74.5881655815411,44.842439719075,80.8136084416268
2021-07-13,63.3030037536808,51.3917006431363,75.2143068642253,45.0862376607096,81.519769846652
2021-07-14,63.7765986333846,51.7163159523479,75.8368813144213,45.3319879491792,82.2212093175901
2021-07-15,64.2484569700285,52.0416280142579,76.455285925799,45.579723099313,82.9171908407439
2021-07-16,64.7182461876921,52.3675260433913,77.0689663319929,45.8294497344054,83.6070426409789
2021-07-17,65.1856522805212,52.693889828373,77.6774147326694,46.0811502316817,84.2901543293607
2021-07-18,65.6503792179915,53.0205906794279,78.280167756555,46.3347844862086,84.9659739497743
2021-07-19,66.1121483592837,53.3474924191025,78.876804299465,46.5902917360827,85.6340049824848
2021-07-20,66.5706978771206,53.6744523873427,79.4669433668983,46.8475924045675,86.2938033496736
2021-07-21,67.0257821913718,54.0013224389331,80.0502419438105,47.1065899253757,86.944974457368
2021-07-22,67.4771714126977,54.3279499168812,80.6263929085142,47.3671725258497,87.5871702995456
2021-07-23,67.9246507964572,54.654178589821,81.1951230030934,47.6292149496804,88.220086643234
2021-07-24,68.3680202070803,54.9798495450888,81.7561908690718,47.8925801062926,88.8434603078679
2021-07-25,68.807093593066,55.3048020319484,82.3093851541836,48.157120638366,89.4570665477661
2021-07-26,69.2416984727395,55.6288742516467,82.8545226938323,48.4226804023442,90.0607165431348
2021-07-27,69.6716754308756,55.9519040926863,83.3914467690649,48.6890958594101,90.6542550023412
2021-07-28,70.096877626269,56.2737298109976,83.9200254415405,48.9561973763937,91.2375578761444
2021-07-29,70.5171703103061,56.5941906556566,84.4401499649556,49.2238104375798,91.8105301830324
2021-07-30,70.9324303565774,56.9131274415178,84.951733271637,49.491756769481,92.3731039436739
2021-07-31,71.3425458015405,57.2303830706201,85.4547085324609,49.759855381418,92.925236221663
